,MDAMB231_siTP53_rep1,MDAMB231_siTP53_rep2,MDAMB231_siTP53_rep3,MDAMB231_siCtrl_rep1,MDAMB231_siCtrl_rep2,MDAMB231_siCtrl_rep3
ITIH4,179,200,190,144,149,123
STT3A,5582,6459,5691,6446,7882,5573
ITPA,829,934,773,973,1212,749
ITPK1,2965,3582,2965,5036,5873,3900
ITPKA,69,103,61,100,136,77
ITPKB,142,176,144,174,227,168
ITPR1,369,424,394,592,839,553
ITPR2,538,578,626,587,701,520
ITPR3,12432,14402,13072,15332,17979,11571
IVD,1524,1770,1559,1556,1965,1211
JAG2,112,124,125,135,165,86
JAK1,3474,3804,3385,3722,4378,3128
JAK2,275,276,248,368,424,341
JAK3,3,5,8,10,17,9
ARCN1,7263,8184,7074,7931,9570,6837
JARID2,1272,1443,1364,1731,1988,1484
JUN,2894,3399,2951,3842,4640,3054
JUNB,1375,1817,1441,1576,1985,1229
JUND,6629,8124,6825,4721,5558,3787
JUP,2100,2662,2152,1830,2286,1514
TRIM23,647,733,660,765,1008,690
ANOS1,484,558,506,700,805,590
GSTK1,1039,1133,906,1162,1375,937
CD82,4698,5700,4590,4676,6009,3804
KARS1,3895,4599,3800,5442,6465,4465
USP50,14,14,13,18,24,13
USP41,11,14,13,9,15,6
DND1,230,278,240,284,339,214
AREG,1623,1903,1435,2164,2743,2048
KCNA6,14,15,9,6,22,9
FBXW10B,25,34,42,29,35,36
NDUFS7,529,672,518,683,848,524
KCNA7,5,3,7,4,7,4
NHLRC2,1643,1863,1738,2431,3070,2225
GALNT18,209,239,229,414,507,307
NCR3LG1,58,62,75,86,124,69
FAM111B,730,829,747,1610,1970,1553
TMEM179B,725,952,726,805,967,647
DNAJB13,9,16,12,3,18,7
LOC374443,264,257,249,223,313,219
PTPRQ,52,74,91,81,80,44
TEX9,80,86,83,114,161,115
GOLGA6L5P,44,53,61,59,53,53
KIF7,152,176,152,301,409,256
ZNF710,414,476,353,488,653,415
HDDC3,283,347,320,291,360,222
WASH3P,404,477,398,423,484,367
TEPP,1,3,0,5,2,6
EFCAB5,53,77,66,82,95,66
KCNC3,46,49,51,33,50,22
LRRC37A3,65,73,73,63,94,59
ANKRD30B,11,10,18,13,20,19
CCDC178,7,5,4,1,2,3
ATP9B,431,553,489,525,705,455
HSD11B1L,78,81,64,46,52,42
TEX45,5,6,6,2,7,4
ZNF699,809,942,795,1178,1465,1015
TMEM205,1085,1361,1159,1035,1231,828
YJEFN3,242,284,330,247,294,205
SBSN,1,3,1,6,3,2
ZNF829,209,237,201,287,354,253
KCNC4,91,97,99,116,154,71
ZNF568,123,132,114,147,133,129
B3GNT8,23,40,34,41,66,46
ZSWIM9,584,727,586,722,944,579
ZNF773,53,60,55,40,50,35
SPATA21,1816,2250,1802,1488,1779,1209
SVBP,289,301,263,316,374,287
MIGA1,977,1045,1026,931,1233,855
NEXN-AS1,18,18,23,21,35,12
ARF1,11755,14074,11340,11239,13757,8865
KCND1,48,30,36,44,41,35
PEAR1,369,419,408,863,1103,610
SFT2D2,2136,2404,2157,2368,3276,2502
MIA3,2926,3228,3014,2386,2880,2075
FAM89A,108,120,80,125,155,101
PI4KAP2,306,356,331,368,438,293
PFN4,15,19,14,16,24,13
FAM228B,70,105,95,72,85,72
ANKRD36,307,328,358,420,655,472
WASH2P,317,335,334,306,367,240
RBM43,91,87,79,107,137,110
LINC01116,317,287,253,374,506,333
CERKL,13,8,12,12,25,15
KCNE1,2,5,2,7,5,5
RBM44,31,28,36,24,28,22
LHFPL4,164,212,150,221,325,176
C3orf62,391,418,341,347,431,332
STIMATE,974,1165,989,1032,1237,826
NRROS,306,389,301,299,385,256
C5orf34,206,239,203,250,390,288
MAST4,1390,1508,1402,1806,2011,1486
SIMC1,340,385,294,422,528,347
GUSBP4,147,144,136,116,134,106
TRIM73,21,22,25,18,25,9
KCNH1,8,12,7,17,18,11
NAT16,10,12,5,12,13,5
SLC26A5,75,96,73,75,100,63
KCP,7,8,8,5,4,4
SPATC1,0,2,2,6,7,4
WASH5P,127,152,151,140,178,125
ENHO,5,1,4,5,4,6
AQP7P1,11,8,4,9,21,6
PTAR1,2239,2294,2328,2772,3342,2625
ERCC6L2,1348,1410,1334,1411,1731,1206
SWI5,241,266,264,317,388,235
PNPLA7,31,23,49,17,20,18
AGRN,10718,13259,11651,10558,12384,7936
CYSRT1,186,189,178,199,246,162
KCNJ4,1,3,3,8,3,1
RAB15,99,121,91,130,195,135
KCNJ8,31,23,21,15,28,19
SLC27A1,1056,1226,1047,1014,1268,794
RPS10P7,23,21,17,13,24,25
KCNJ11,2,0,3,4,5,2
KCNJ12,3,0,1,7,9,4
KCNJ13,10,12,10,7,25,6
