,MDAMB231_siTP53_rep1,MDAMB231_siTP53_rep2,MDAMB231_siTP53_rep3,MDAMB231_siCtrl_rep1,MDAMB231_siCtrl_rep2,MDAMB231_siCtrl_rep3
MIR210HG,324,367,361,254,348,235
PAXBP1-AS1,41,50,50,51,54,55
RAB30-DT,120,132,127,123,203,126
LOC100506235,7,11,3,5,8,9
KRBOX1,13,4,10,25,38,22
LOC100506253,26,31,29,16,22,19
SYT9-AS1,7,6,10,10,9,5
LOC100506281,7,8,9,8,20,4
ANKRD42-DT,72,61,65,55,78,60
TBC1D8-AS1,15,10,13,17,25,8
LOC100506289,175,190,168,201,309,243
RBM33-DT,36,44,29,31,47,33
GPRC5D-AS1,51,62,56,46,72,40
LOC100506321,115,129,106,147,159,108
SP2-AS1,43,52,53,62,81,64
INKA2-AS1,4,2,2,3,5,3
ARSD-AS1,9,16,15,8,10,6
LOC100506358,5,3,5,3,2,4
OTUD6B-AS1,364,369,335,412,547,416
FZD4-DT,18,11,26,14,20,18
LINC02091,3,4,5,2,0,1
EDDM13,7,13,7,4,21,6
RNF32-DT,114,157,137,156,161,126
LINC01426,21,29,22,26,24,18
RPH3AL-AS1,4,0,6,4,7,2
GAS6-DT,211,231,191,272,312,191
MAP3K9-DT,141,160,125,153,206,117
DOCK4-AS1,1,2,4,2,14,2
LOC100506422,52,40,67,77,78,49
CBR3-AS1,57,71,58,84,117,76
LINC00648,13,14,19,15,19,19
SPAG5-AS1,598,680,553,733,847,575
RASSF8-AS1,37,36,26,31,57,31
MIR3681HG,28,35,30,44,55,43
LINC01234,5,7,6,7,16,7
TMEM147-AS1,200,244,185,229,266,168
LOC100506472,36,25,36,24,31,14
C2orf49-DT,111,74,95,51,63,55
MIDEAS-AS1,14,18,20,16,24,7
LIFR-AS1,26,23,17,21,30,18
CPVL-AS2,2,2,1,1,7,6
PRKCZ-AS1,33,30,48,34,43,27
LINC01176,5,11,7,4,12,7
SPTY2D1OS,56,64,68,129,159,100
L3MBTL2-AS1,67,72,59,77,102,62
LOC100506551,59,75,65,49,82,50
NECTIN3-AS1,4,4,9,10,9,1
THEGL,11,5,16,10,17,8
C16orf95,84,106,80,88,117,72
PTPRN2-AS1,10,16,11,12,11,18
PPP1R26-AS1,48,53,50,59,74,66
VASH1-AS1,68,80,70,53,73,50
LOC100506606,30,30,34,21,40,30
PRKAR2A-AS1,52,59,61,48,66,52
LOC100506639,162,190,162,185,235,139
PXN-AS1,581,714,609,851,1017,602
LCMT1-AS2,2,4,0,8,11,5
OCLN,429,415,426,562,747,514
DDX11-AS1,9,9,5,9,10,7
NRAV,179,203,175,243,332,218
MRPS30-DT,17,17,19,12,10,7
TTLL1-AS1,11,12,12,11,9,8
JARID2-AS1,2,1,4,0,6,2
IQCH-AS1,146,153,147,120,149,111
LINC02985,13,3,12,6,18,4
PCAT6,21,38,25,19,25,15
EBLN3P,1579,1763,1737,1535,1756,1457
ALOX12-AS1,24,26,32,18,24,22
NUP50-DT,183,227,184,166,214,158
LOC100506730,79,81,59,75,100,72
SLFN12L,6,6,3,7,6,5
LINC01589,5,4,3,3,9,9
AFF1-AS1,57,71,57,50,68,32
MGAT4FP,6,9,4,11,6,6
AGAP1-IT1,2,1,2,4,6,4
MAILR,14,29,28,17,32,12
MIR497HG,271,315,259,302,408,264
LINC00629,4,6,5,2,7,4
OR7E37P,3,2,2,3,3,1
TSPOAP1-AS1,290,358,269,304,392,250
THORLNC,7,5,4,15,14,7
ECE1-AS1,7,9,5,7,14,10
TMEM30A-DT,18,15,20,15,21,13
MYLK-AS1,56,88,69,74,92,56
LINC02475,58,74,61,44,65,44
LINC00840,1,4,4,1,2,4
GIHCG,44,62,62,52,68,57
LOC100506851,9,9,8,11,12,9
LINC00513,2,3,5,5,7,3
TTN-AS1,69,67,85,84,111,90
LINC00933,2,5,7,8,7,5
MKLN1-AS,90,97,91,77,73,44
LNC-LBCS,5,4,10,5,5,4
LUARIS,10,17,14,21,19,8
MAGOH2P,5,4,5,3,5,4
LL0XNC01-250H12.3,91,77,70,131,147,102
CHRM3-AS2,5,7,8,8,5,3
MAP3K2-DT,22,28,23,20,24,22
LINC00665,92,138,101,126,159,113
PRKG1-AS1,75,58,63,43,73,38
ELOA-AS1,183,221,201,183,207,139
LOC100506974,4,17,6,10,17,13
NCMAP-DT,63,76,66,57,91,57
FAM86B2-DT,95,118,93,116,170,108
PTPRG-AS1,133,150,146,207,274,203
LOC100507002,133,158,133,153,221,168
TMCC1-DT,30,30,32,48,46,36
PITRM1-AS1,338,366,327,388,480,310
LOC100507053,94,84,85,71,75,45
MELTF-AS1,163,202,161,171,212,127
PSMD6-AS2,72,91,99,96,97,68
MSRB3-AS1,7,6,8,6,11,14
CLIP1-AS1,3,5,2,7,8,5
PIWIL2-DT,23,29,28,24,21,21
DLG1-AS1,29,35,33,39,76,41
PITPNM2-AS1,3,5,2,3,7,1
ADAMTS9-AS2,11,21,20,17,27,23
LINC02937,19,16,21,17,27,17
ASAP1-IT2,2,4,2,3,11,2
PRC1-AS1,697,872,688,906,1138,772
LINC00707,54,48,41,110,105,66
SPART-AS1,10,13,9,11,9,15
LINC01792,10,5,12,5,8,4
CD44-DT,2,6,0,1,4,5
LOC100507156,533,617,573,658,799,533
BOLA3-DT,24,36,34,80,76,65
LINC01012,13,20,18,22,21,15
SLFNL1-AS1,95,92,111,132,175,108
SMLR1,4,2,2,2,6,3
CHASERR,831,869,762,798,1086,735
MAMDC2-AS1,11,5,8,7,8,6
SNHG16,1993,2230,1944,2622,3303,2161
LOC100507250,2,6,2,4,4,2
STX18-AS1,37,40,40,47,56,47
MSANTD2-AS1,10,26,22,10,19,18
ZNF865,724,889,748,782,926,616
COPB2-DT,13,17,11,8,17,10
TMEM44-AS1,94,139,122,101,128,96
SMC5-DT,21,23,12,10,15,12
ALKBH3-AS1,7,8,10,15,17,7
SNHG19,115,149,119,105,126,82
TARID,7,11,9,19,15,14
MINCR,66,71,80,40,49,43
ERVK13-1,328,318,326,285,366,249
ZSWIM8-AS1,471,515,479,378,482,300
LOC100507336,5,4,6,2,1,1
LOC100507346,44,55,57,38,46,39
VIM-AS1,14675,18668,15221,19322,24587,14254
ADGRL1-AS1,219,218,206,219,325,198
LINC02882,6,3,5,1,2,2
KCNQ5-IT1,5,7,4,5,8,5
LINC01968,3,2,1,4,4,2
INTS6-AS1,22,13,19,21,20,8
LRP4-AS1,8,7,6,9,15,7
TMLHE-AS1,5,8,6,12,12,9
LOC100507412,7,9,9,19,19,15
FAM220CP,1,3,3,5,9,7
MMP25-AS1,35,35,46,40,39,25
LINC01605,469,552,454,459,567,398
TMEM178B,3,2,2,1,3,3
MKNK1-AS1,93,114,106,100,101,78
LINC02551,7,9,3,3,10,7
ZNF571-AS1,10,13,10,9,21,13
MICA,1502,1784,1375,1485,1864,1229
MTA1-DT,48,56,40,84,80,66
ZNF213-AS1,55,55,58,56,70,48
NRSN2-AS1,56,59,54,38,70,43
CCDC28A-AS1,14,29,17,19,25,14
PSMB8-AS1,232,300,251,483,580,394
DPH6-DT,9,7,7,1,2,2
IDH1-AS1,10,11,7,3,5,4
LINC02615,9,11,17,13,13,5
LINC01277,3,3,7,3,5,1
SDCBP2-AS1,181,227,209,167,230,137
EGFR-AS1,246,306,312,321,392,259
LINC01569,4,4,1,3,7,5
ECI2-DT,5,7,5,4,2,4
FAM131B-AS2,99,127,88,95,109,65
LINC02984,391,406,370,568,703,500
ARHGEF26-AS1,3,2,4,1,2,2
MCPH1-AS1,51,58,43,28,37,24
SOX21-AS1,10,17,7,11,18,18
LINC01504,7,13,9,6,5,6
LOC100507547,55,66,49,82,102,65
PGLS-DT,357,433,373,310,389,225
RPL37A-DT,29,32,28,45,57,40
EPM2A-DT,78,80,70,75,113,81
MAGOH-DT,18,22,16,19,21,20
RAB11B-AS1,212,247,203,179,268,131
BHLHE40-AS1,94,98,88,94,136,87
TGFBR3L,130,196,137,160,200,110
NAGPA-AS1,8,17,7,11,11,4
TFIP11-DT,38,40,27,36,42,22
LCT-AS1,13,21,11,19,31,19
TRIM52-AS1,204,256,192,205,224,191
NPIPB9,195,229,195,221,249,179
TNKS2-DT,9,8,9,4,9,9
LOC100507634,31,29,22,24,30,13
LINC03014,42,42,40,70,87,58
ZNF687-AS1,22,27,23,20,23,12
MARK2P9,5,5,6,6,12,3
C13orf46,99,91,101,139,121,102
GMDS-DT,126,131,134,107,145,82
CPB2-AS1,1,1,4,2,5,5
SMC4,4951,5374,5043,7359,9223,7037
TBC1D3JP,9,6,7,4,5,3
GJC1,5,4,1,6,4,4
LY75-CD302,299,326,301,389,513,357
ARPC4-TTLL3,1034,1134,973,1146,1472,939
MSANTD3-TMEFF1,424,545,455,520,619,431
RBM14-RBM4,750,916,721,970,1199,755
CENPS-CORT,155,182,154,209,221,169
ATP5MF-PTCD1,777,951,750,892,1091,717
ABHD14A-ACY1,327,388,322,560,668,408
CCDC169-SOHLH2,24,34,24,24,35,23
RNF103-CHMP3,1826,2164,1738,2396,2900,2034
STIMATE-MUSTN1,148,168,151,170,209,132
ARPIN-AP3S2,567,671,585,638,877,513
NT5C1B-RDH14,113,132,121,151,187,145
CAHM,16,16,9,12,20,11
INMT-MINDY4,32,37,32,56,65,42
SLX1A-SULT1A3,197,222,205,229,295,191
SLX1B-SULT1A4,190,210,192,223,278,183
PHOSPHO2-KLHL23,196,209,205,211,276,202
SEPT5-GP1BB,2,3,2,10,11,4
FPGT-TNNI3K,16,14,21,41,56,36
BLOC1S5-TXNDC5,4630,5428,4446,4027,5027,3362
EEF1E1-BLOC1S5,463,510,441,602,801,540
RPL17-C18orf32,3211,3823,3052,4147,5412,3645
TGIF2-RAB5IF,957,1186,928,1185,1493,1042
GJA9-MYCBP,488,583,481,461,563,407
MROH7-TTC4,293,332,285,453,548,395
PMF1-BGLAP,331,412,329,376,475,299
LHX4-AS1,26,24,25,35,47,32
TLCD4-RWDD3,117,142,108,156,178,128
BORCS7-ASMT,98,102,85,83,121,67
TMX2-CTNND1,3917,4351,3934,5634,6713,5012
SAA2-SAA4,106,111,98,109,115,93
ARL2-SNX15,983,1236,968,1190,1538,906
HSPB2-C11orf52,2,3,2,2,5,3
FAM187A,15,17,10,14,13,11
ST20-MTHFS,63,75,67,89,111,71
BLOC1S1-RDH5,190,248,210,184,213,156
POC1B-GALNT4,370,431,373,396,492,390
FKBP1A-SDCBP2,859,987,829,669,818,509
KLRC4-KLRK1,29,34,32,17,30,25
ARMCX5-GPRASP2,539,603,564,735,977,677
NEDD8-MDP1,1111,1394,1118,1210,1568,1023
BCL2L2-PABPN1,1403,1699,1395,1884,2261,1538
SERF2-C15ORF63,767,945,751,937,1179,724
RPL36A-HNRNPH2,4482,5079,4093,5266,6789,4590
CORO7-PAM16,445,524,429,519,609,408
TEN1-CDK3,234,317,243,265,335,195
RAD51L3-RFFL,399,452,401,650,856,566
RNASEK-C17orf49,1504,1727,1427,1451,1882,1205
TMEM256-PLSCR3,433,542,445,594,712,448
ZNF559-ZNF177,80,95,83,80,108,68
RPS10-NUDT3,7251,8767,6981,9820,12462,7776
ZNF816-ZNF321P,30,35,31,40,53,29
HSPE1-MOB4,901,1023,833,1098,1387,1008
CKLF-CMTM1,701,811,641,649,769,528
SYNJ2BP-COX16,491,545,489,528,704,487
CHURC1-FNTB,483,574,485,508,610,388
MIA-RAB4B,217,237,188,162,196,114
RAB4B-EGLN2,808,979,792,881,1114,649
ZNF625-ZNF20,127,159,139,189,236,185
AP1M2,176,261,188,445,589,338
NPHP3-ACAD11,202,212,226,241,315,221
NDUFC2-KCTD14,773,913,733,921,1137,773
COMMD3-BMI1,1264,1446,1238,1376,1720,1241
MSH5-SAPCD1,381,436,435,466,600,410
INO80B-WBP1,658,879,679,646,869,530
MICOS10-NBL1,841,1038,848,808,1050,612
ATP6V1G2-DDX39B,2061,2482,2138,3348,4208,2855
PIR-FIGF,28,46,42,52,56,41
PPT2-EGFL8,391,464,425,714,869,551
C8orf44-SGK3,90,104,85,84,113,82
ZHX1-C8orf76,206,225,212,301,402,253
RTEL1-TNFRSF6B,725,856,751,848,1043,650
ZNF670-ZNF695,21,20,20,29,38,21
UBE2F-SCLY,279,325,275,388,491,302
SEC24B-AS1,9,7,9,4,13,10
ZNF664-RFLNA,81,112,98,123,132,91
ARHGAP19-SLIT1,66,67,56,224,261,186
FAM24B-CUZD1,42,41,38,32,43,39
PRH1-PRR4,64,80,62,93,109,67
BIVM-ERCC5,716,805,720,678,835,607
DNAAF4-CCPG1,437,467,424,549,748,537
TVP23C-CDRT4,505,552,485,381,509,370
LRRC37A8P,8,6,9,17,30,24
RBAK-RBAKDN,24,41,31,34,47,37
SENP3-EIF4A1,10600,12611,10341,14635,18409,12106
P2RX5-TAX1BP3,1464,1782,1351,1501,1756,1151
SLMO2-ATP5E,2784,3257,2727,3250,4189,2836
TNFAIP8L2-SCNM1,267,336,273,321,395,259
URGCP-MRPS24,672,889,695,827,1011,627
STX16-NPEPL1,885,1051,940,884,1083,738
HNRNPUL2-BSCL2,2615,3153,2547,3447,4253,2869
ISY1-RAB43,818,967,787,773,980,667
TM4SF19-DYNLT2B,72,85,73,84,129,73
C1QTNF3-AMACR,145,198,145,140,204,127
UBA2,2679,3045,2635,3374,4357,2866
SAE1,4380,5133,4151,5977,8005,5130
FARSB,1185,1271,1150,1946,2272,1588
ABCC5,1228,1411,1396,1089,1344,968
ABCB6,442,515,454,450,544,323
DNM1L,1907,2020,1878,2219,2554,1857
CDH8,12,25,11,15,16,20
ABCC9,12,11,9,12,16,3
ABCF2,926,1134,964,1334,1637,1025
MIR4793,7,16,8,5,7,6
MIR4680,25,25,28,21,28,29
MIR4648,10,9,10,4,11,5
MIR4653,3,1,2,4,3,6
MIR4523,43,30,45,47,41,38
MIR4647,160,200,142,160,184,134
MIR4741,18,16,11,16,28,18
MIR4763,5,6,5,4,6,3
MIR4720,10,14,13,9,13,14
MIR4722,4,5,5,5,6,3
MIR4754,1,3,4,15,4,7
MIR4477A,5,5,4,3,5,7
MIR4477B,19,13,8,16,22,18
MIR4737,8,14,11,14,15,7
MIR4709,506,586,471,532,615,439
MIR4721,184,236,169,237,285,174
MIR378I,5,5,1,2,6,10
MIR4749,4,5,2,4,4,1
MIR4750,10,10,9,4,7,4
MIR4664,7,6,6,1,7,6
MIR4482,4,3,2,2,4,1
MIR4700,52,63,52,57,85,43
MIR4758,61,93,79,105,123,68
MIR4426,101,161,127,136,180,112
MIR4800,90,109,93,46,60,42
MIR4730,0,1,6,5,2,1
MIR4775,6,7,5,14,16,8
MIR4785,5,5,2,5,4,5
MIR4746,5,10,15,16,13,6
MIR4492,10,21,15,13,15,8
MIR4784,2,3,0,4,8,10
MIR3064,206,245,272,229,275,224
MIR4657,47,39,39,46,57,34
MIR4444-1,123,136,119,166,217,142
MIR4712,27,20,27,10,20,14
MIR3198-2,61,80,55,63,79,70
MIR4691,13,12,10,12,20,13
MIR5047,445,513,529,476,632,426
MIR4761,103,151,90,99,135,78
MIR4786,4,3,2,2,5,3
MIR4707,32,48,44,50,75,48
MIR4658,23,42,26,27,23,17
MIR2682,50,57,48,67,83,51
MIR4687,55,62,50,68,80,54
MIR4442,21,26,23,27,27,18
MIR4479,2,7,3,8,8,4
MIR4751,53,61,46,55,67,46
MIR4517,13,11,12,21,24,12
MIR4683,29,47,28,20,29,14
CFAP418-AS1,10,7,7,5,7,11
TPTE2P5,39,63,53,78,104,58
NR1H3,361,424,386,455,532,361
COX17,307,410,307,434,562,368
PARTICL,36,39,47,42,49,33
LOC100630923,237,270,234,265,326,219
FAM47E-STBD1,92,101,85,145,176,126
SPRY4-IT1,59,58,68,81,84,67
LINC00659,8,2,2,5,7,4
LINC01311,25,16,18,20,33,20
RAET1E-AS1,122,152,128,125,156,81
PYCARD-AS1,15,27,21,27,17,18
TIMM23B,220,233,242,234,322,192
LOC100652758,77,91,86,196,254,171
PRICKLE2-AS1,168,186,161,219,300,184
LOC100652768,99,104,105,106,134,80
DSG2-AS1,98,130,101,186,220,132
NNT-AS1,468,544,472,486,616,454
LOC100652777,3,3,3,2,5,3
SNX29P1,6,2,3,2,10,5
LINC01023,37,30,28,28,36,25
LINC00539,3,4,4,8,2,3
LINC00702,12,8,26,11,15,9
LOC100652999,250,307,292,247,320,240
MIR3147HG,15,20,7,18,19,7
CEP295NL,6,2,10,11,25,4
SCAMP2,1672,2055,1717,1463,1715,1168
SCAMP3,2096,2572,2166,2083,2573,1749
IL18BP,264,323,316,265,270,207
RWDD2B,321,388,351,341,444,292
CDH9,5,1,1,1,3,3
MUC12,1,2,1,6,5,2
DPP3,1724,2018,1724,1878,2312,1525
SNUPN,288,377,278,371,495,320
HUWE1,11566,13105,12626,16200,17202,13081
HIF1A-AS1,392,462,443,428,542,334
HIF1A-AS2,1661,1842,1654,1556,1867,1533
PTPRU,1445,1673,1499,1551,1900,1308
KLHL7-DT,13,17,13,12,14,15
RBM5-AS1,213,236,229,228,274,195
TSSC4,659,834,683,783,1006,594
ATP9A,165,174,137,192,211,147
CDH10,4,3,7,8,5,5
PDCD7,498,625,484,565,654,469
GPC6,267,321,281,439,618,431
MYZAP,122,147,121,130,165,124
PQBP1,927,1081,909,1203,1483,1004
MIR4444-2,6,16,12,45,30,14
MIR5581,6,6,2,8,7,2
MIR5004,11,12,7,11,15,6
MIR5006,6,11,10,12,13,14
MIR5587,6,6,8,11,8,7
MIR548AR,7,5,3,3,8,6
MIR5001,5,4,3,3,4,3
MIR5572,29,26,32,21,27,21
MIR5010,34,37,39,44,41,39
MIR5196,13,20,25,13,18,8
MIR5090,8,10,11,17,20,13
MIR5193,16,13,12,26,31,15
MIR5703,3,7,2,4,6,5
MIR5187,12,16,15,11,22,15
EDIL3,11860,13213,11750,9081,10896,8241
CARS1-AS1,318,389,344,376,519,309
ZRANB2-DT,4,5,3,3,4,1
HEIH,483,559,382,391,512,346
CERS6-AS1,211,218,204,268,321,257
FSBP,10,12,15,34,65,42
ZMYM4-AS1,52,60,56,72,105,64
OCIAD1-AS1,15,15,21,24,27,30
P4HA2-AS1,74,94,75,96,144,82
UFL1-AS1,19,14,23,11,18,10
RNA45SN5,14948,16402,12656,22120,43646,14424
CYP3A7-CYP3A51P,4,5,3,4,7,3
DOCK9-DT,15,21,13,12,20,11
LINC00557,5,4,3,2,7,2
PINK1-AS,1250,1487,1223,996,1299,906
LINC00562,4,6,8,4,2,1
LINC00565,16,11,10,29,26,21
SCAANT1,17,21,13,16,19,11
ALDH1L1-AS2,3,2,1,2,4,3
TMEM265,107,143,113,135,164,108
DIP2A-IT1,0,5,3,2,7,3
CERT1,1585,1713,1559,1333,1641,1258
PTCHD1-AS,3,2,4,1,6,3
SRGAP2-AS1,1,3,3,4,6,2
NDP-AS1,15,22,18,19,21,14
HLX-AS1,7,4,2,7,5,3
DLG3-AS1,11,7,8,8,19,7
DPYD-AS1,61,69,63,106,125,80
MTOR-AS1,33,36,36,39,56,31
MYLK-AS2,3,5,3,2,1,1
OPA1-AS1,94,122,111,136,154,99
HLTF-AS1,37,40,39,45,64,51
LMLN-AS1,80,85,79,103,119,106
IPO9-AS1,152,151,169,169,212,129
SZT2-AS1,52,58,73,69,75,50
SNRK-AS1,259,311,285,310,386,254
LNX1-AS2,3,3,3,3,3,1
MED4-AS1,160,168,154,167,222,140
RBMS3-AS3,31,37,36,25,32,28
MAGI1-AS1,0,2,2,1,10,2
MED14OS,28,34,25,37,53,34
GRM5-AS1,12,14,9,16,21,11
HCFC1-AS1,1,4,0,4,3,4
ITIH4-AS1,16,14,15,11,14,15
NCBP2-AS1,57,64,62,68,82,52
OXCT1-AS1,13,12,14,36,35,23
TTC3-AS1,116,141,132,79,99,71
VIPR1-AS1,38,53,41,62,60,45
NAV2-AS2,249,250,277,229,267,196
SYNPR-AS1,23,34,29,4,15,13
EPN2-AS1,12,5,6,13,10,9
SGO1-AS1,176,188,153,232,279,216
CFAP44-AS1,9,9,12,12,14,11
PRRT3-AS1,19,44,22,49,71,39
UBXN7-AS1,21,27,22,28,42,19
THOC7-AS1,3,3,1,4,7,3
HM13-AS1,23,33,38,27,28,31
TPRG1-AS1,0,5,4,9,1,5
DGUOK-AS1,276,297,261,234,352,219
FALEC,8,4,3,5,3,3
COX10-DT,96,117,96,122,169,109
STK24-AS1,4,9,5,5,6,5
KCNAB1-AS2,11,10,11,5,8,4
NUCB1-AS1,418,511,423,450,638,387
TM4SF1-AS1,4,5,4,3,2,4
UBE2E1-AS1,2,4,6,2,10,3
ZNF197-AS1,5,8,6,8,5,3
UBE2Q1-AS1,149,187,145,187,221,170
GLYCTK-AS1,1,2,5,6,8,7
STEAP3-AS1,353,447,383,333,399,253
YEATS2-AS1,54,68,57,56,70,42
LINC00351,49,58,35,35,38,20
LINC00400,2,1,3,3,4,2
LINC00571,3,7,2,0,3,3
DIAPH3-AS1,53,62,56,86,113,65
B4GALT4-AS1,21,26,17,20,24,15
COL4A2-AS1,176,200,193,184,222,144
ALDH1L1-AS1,2,3,1,2,4,3
ST3GAL6-AS1,33,43,35,47,42,27
NDFIP2-AS1,3,2,4,4,2,3
MID1IP1-AS1,17,11,9,13,23,5
MYCBP2-AS1,113,121,103,129,145,109
TM4SF19-AS1,56,67,56,49,85,53
OBI1-AS1,163,174,151,242,297,206
PRICKLE2-AS3,13,13,18,24,23,14
ARHGAP31-AS1,4,6,8,4,7,1
DENND5B-AS1,41,48,51,49,58,48
RNASEH2B-AS1,11,12,11,8,12,6
SLC25A30-AS1,4,4,5,10,9,7
UBE2CP5,105,134,130,107,127,91
CCDC200,16,25,20,31,43,22
ERI3-IT1,26,17,24,21,28,31
ALMS1-IT1,66,74,59,68,87,82
EPN2-IT1,4,5,4,7,4,3
BACH1-IT2,1,1,2,3,4,4
HS1BP3-IT1,1,4,7,2,6,2
HOXB-AS1,5,8,13,11,9,6
HOXC-AS2,4,1,3,7,9,3
NALF1-IT1,0,0,2,3,10,1
ANKRD20A12P,4,2,4,5,3,2
APOBEC3B-AS1,66,81,66,125,167,103
UGDH-AS1,75,79,71,66,80,42
NALCN-AS1,15,33,29,35,51,30
MYO16-AS1,7,5,3,4,3,4
PTGES3L,54,47,43,65,80,52
PTGES3L-AARSD1,273,322,273,407,562,357
MRPS31P5,155,178,183,168,218,140
KCNK7,8,3,7,9,14,9
CDH11,9942,11052,9951,10274,11983,9027
UST,250,296,231,326,398,261
ARPC5,7560,8662,7392,7025,9181,6355
ARPC4,2765,3339,2700,3443,4376,2904
ARPC3,5091,5572,4669,4936,6528,4381
ARPC1B,2446,3107,2471,2878,3602,2099
ACTR3,6046,6767,5572,7653,9969,6990
ACTR2,5443,5985,5296,11899,14783,10774
TSPAN5,1520,1685,1424,1454,1704,1164
TSPAN3,2536,2989,2619,3457,4286,3094
LINC02361,10,10,9,10,8,12
LINC02256,4,7,9,4,11,5
FAM106B,13,8,12,9,16,10
FOXD3-AS1,52,53,40,73,105,63
LIPE-AS1,27,25,22,16,29,21
LOC100996318,10,10,4,0,5,3
GNA15-DT,76,101,80,98,138,72
MRNIP-DT,20,26,22,19,40,20
ARLNC1,2,4,5,6,15,7
LOC100996437,11,7,9,8,18,10
LOC100996442,67,75,66,84,84,63
MLF1-DT,46,50,44,42,49,37
L1CAM-AS1,11,9,5,35,35,25
PITX1-AS1,810,883,748,977,1190,826
CTXND1,7,9,8,12,12,7
LOC100996506,35,31,34,42,45,16
LINC01355,114,102,138,101,123,93
SEC22B3P,227,232,195,192,233,184
ITPR1-DT,9,2,7,3,7,3
FAM157C,8,10,8,17,14,12
NFIA-AS2,30,16,25,5,5,7
LINC01806,279,253,196,191,273,220
LOC100996643,13,11,11,14,34,15
LOC100996660,53,42,57,39,48,36
LOC100996664,10,6,13,11,11,10
SPEGNB,3,7,6,3,5,4
LINC01356,41,54,50,56,76,51
SRGAP2D,709,827,756,1059,1249,874
SEC22B2P,264,274,226,229,267,239
NOTCH2NLC,549,548,565,721,1073,620
LOC100996720,21,25,25,16,25,19
PDE4DIPP2,822,874,925,910,1072,803
LINC02802,20,31,34,46,58,28
HERC2P11,1,2,5,5,2,6
LOC100996740,41,41,35,33,40,25
SPDYE11,20,28,26,27,43,25
LOC100996756,9,8,7,6,10,11
NPY4R2,27,25,28,30,37,23
NOTCH2NLB,757,775,819,1073,1560,922
LOC100996842,175,219,165,201,237,155
FMC1-LUC7L2,1042,1192,998,1502,1781,1342
PYURF,614,690,582,775,989,684
ADAM8,7542,9293,7974,7290,8986,5782
TSPAN2,9,6,10,24,27,18
NUBP2,676,874,687,793,974,611
TSFM,349,432,385,412,538,342
TSPAN1,617,666,560,657,871,531
PPIF,3074,3928,3152,3109,3670,2521
LOC101059906,17,27,23,18,27,13
GOLGA8R,15,19,20,24,34,20
NPIPA7,97,107,113,101,112,81
LOC101059948,6,2,3,4,8,8
NPIPA8,40,47,47,49,49,43
LOC101059954,33,30,18,15,38,17
CTDSP2,4798,5523,4765,5009,6159,4298
ACTR3-AS1,4,12,13,3,4,1
CHMP1B2P,14,9,17,15,12,13
ODAD2P1,12,12,9,17,20,13
LOC101060187,5,8,9,2,4,2
FCF1P2,62,71,72,43,54,36
ZNF891,70,80,86,85,108,63
NBPF19,2064,2298,2195,2690,3297,2166
FOXP4-AS1,10,9,12,11,14,14
TBC1D3G,88,105,106,59,72,58
LOC101060341,14,18,20,15,17,15
TBC1D3K,147,145,167,89,112,83
TBC1D3L,286,316,293,182,224,147
TBC1D3D,139,146,156,103,124,75
LINC01910,16,18,22,18,16,21
NBPF26,1109,1154,1161,1460,1743,1268
NUTM2B-AS1,49,65,65,77,121,67
ARPC2,7156,8295,6803,7922,10169,6901
SGK2,32,15,26,8,12,10
LINC00601,32,35,20,26,31,28
BMS1P17,93,96,101,87,107,76
RAD50,1755,1937,1798,2097,2467,2007
KIF20A,4427,5137,4188,5400,6871,4570
PREB,1079,1286,966,1281,1469,967
HIPK3,2229,2590,2370,2520,3082,2277
PANDAR,6,3,3,10,10,5
FEM1B,1401,1564,1392,1588,2032,1526
IPO11-LRRC70,310,330,283,343,421,287
CDH13,75,102,86,40,40,25
ACTR1B,1662,2051,1643,2283,2811,1794
ACTR1A,4075,4746,3750,4781,5903,3775
ARL4C,9467,10909,9268,7318,8372,6084
ARL4A,753,841,744,994,1163,840
NPTN-IT1,61,55,71,68,83,52
C4orf46P3,2,5,6,2,7,3
LINC02067,1118,1240,1017,1093,1327,1238
RASGRP1,19,14,19,16,30,14
DNAL4,167,197,178,157,186,126
ZNF263,579,632,560,581,756,481
LRPPRC,4045,4397,4029,5737,6950,5013
FRY,92,116,90,155,197,125
CDH15,1,3,4,2,3,1
PDIA6,4803,5740,4826,5907,7493,4991
TRAP1,1216,1505,1172,1992,2320,1487
OPTN,3256,3728,3264,3114,3834,2808
BCAP31,6597,8312,6633,7738,9649,6704
SNORD124,4,1,4,4,1,3
NAMPT,9705,10448,9592,10813,14012,10378
RBM12,2369,2709,2276,2998,3946,2612
YAF2,281,307,251,321,358,263
ARFRP1,1094,1371,1125,1244,1719,1007
TOB1,771,920,830,630,813,580
EZR-AS1,369,447,373,422,566,311
OSGEPL1-AS1,4,2,3,4,4,4
OGFR-AS1,19,25,18,29,39,18
YTHDF3-DT,9,3,6,10,7,3
LAMTOR5-AS1,4,3,2,2,4,1
MMP24OS,2127,2697,2205,2006,2474,1647
LINC00678,12,10,13,9,10,6
AKAP9,2003,2161,2085,1947,2425,1872
FAM13A,1146,1154,1126,823,1018,711
LOC101448202,88,98,83,75,80,56
G3BP1,4147,4437,3981,9330,11631,8150
SUGP2,4039,4363,4375,4151,4961,3672
EBI3,16,14,10,36,34,24
ADGRG2,41,50,57,101,147,88
CDH17,2,2,2,5,4,0
