Genes,WT_serum_Sc_2,R175_serum_A5,WT_doxo_Sc,WT_serum_A5_1,WT_doxo_A5,WT_serum_A5_2,WT_serum_Sc_1
MIR548V,2,3,2,0,2,3,0
MIR4285,3,0,1,0,7,2,0
MIR3136,6,9,18,2,11,10,8
MIR4292,40,59,70,16,52,65,44
MIR4306,3,1,0,0,5,5,0
MIR544B,12,8,19,2,8,13,7
MIR1244-3,2,11,5,0,12,13,7
MIR3192,5,7,13,5,9,7,15
MIR3162,2,2,1,0,4,5,0
MIR548U,5,1,3,0,4,14,3
MIR1244-2,233,192,124,178,135,335,261
MIR3140,7,1,8,2,19,13,12
MIR3193,0,6,5,0,2,11,0
MIR4295,0,0,3,4,3,3,6
MIR320E,2,0,1,0,5,3,0
MIR3149,3,0,3,1,0,5,2
MIR1972-2,3,2,16,0,9,4,8
MIR3137,7,2,14,5,9,8,7
MIR3127,8,8,6,5,12,4,6
MIR4261,1,0,3,0,0,6,3
MIR4304,0,2,7,2,4,5,0
MIR3143,7,3,14,2,4,6,4
MIR3153,38,27,51,23,29,53,48
MIR4305,3,6,9,0,7,10,1
MIR3189,14,2,288,18,247,89,4
MIR3186,7,10,10,9,6,7,2
MIR4326,5,5,8,1,3,14,5
MIR3122,5,1,4,0,0,7,1
MIR4284,2,4,13,2,16,7,4
MIR4263,3,8,14,0,7,3,6
MIR3146,1,3,1,5,5,4,7
MIR4312,5,4,22,11,24,16,4
MIR3178,16,10,20,0,11,10,16
MIR4252,1,5,15,2,10,7,5
MIR4256,3,0,15,7,1,3,3
MIR4324,1,6,3,3,6,4,4
MIR3173,6,3,8,2,0,14,4
MIR4308,5,3,6,1,3,4,0
MIR3134,13,6,4,0,6,4,3
MIR3175,17,12,19,7,18,25,13
MIR3145,8,0,5,1,6,5,3
MIR3138,1,3,2,0,3,4,0
MIR3177,5,4,9,0,8,12,3
MIR3139,9,8,5,6,14,29,1
MIR4258,30,19,17,2,4,36,22
MIR3198-1,1,1,4,1,6,1,0
MIR3163,0,1,1,0,8,0,1
MIR3126,3,1,5,0,3,7,4
MIR4321,0,0,4,0,0,4,6
MIR3176,23,20,25,0,16,36,8
MIR4296,20,25,35,11,32,23,10
MIR4269,1,3,5,0,5,0,0
TOM1,295,362,730,181,694,531,251
SH2D3C,2,6,6,0,30,2,1
SH2D3A,536,451,974,257,836,925,546
MAMLD1,547,380,462,371,365,790,480
MICOS10P1,55,32,169,48,96,96,43
MTRNR2L3,74,45,71,25,49,80,64
MTRNR2L4,14,2,8,4,13,16,1
RANBP9,3611,3017,3272,2399,2860,4140,3238
DNAJB6,2215,1643,2417,1369,2277,3050,1979
THAP9-AS1,915,1273,806,717,629,1166,795
BAALC-AS1,4,12,4,6,6,2,3
LINC02992,0,2,12,6,12,17,5
USP2-AS1,31,50,11,22,25,73,38
LINC00987,212,186,173,107,167,265,247
LINC00674,13527,13675,12718,9522,10833,19415,12894
LINC00673,27,16,16,6,7,29,11
SUGT1P4-STRA6LP,25,12,34,10,23,24,24
LINC03027,154,159,119,88,97,205,152
MIR3685,10,7,7,3,15,9,15
MIR3654,1002,862,793,583,708,1669,963
MIR3677,7,4,18,0,14,23,15
MIR3609,39,40,132,35,99,83,52
MIR3909,1,3,11,0,3,1,1
MIR3619,11,5,18,3,12,13,7
MIR3664,0,0,3,1,10,6,1
MIR3916,61,34,96,49,78,101,63
MIR3682,8,9,8,11,2,8,5
MIR3605,6,1,5,0,7,7,1
MIR3671,6,0,4,1,1,2,3
MIR3939,14,2,10,4,2,10,5
MIR3648-1,2269,4383,4802,612,3464,9418,3779
MIR3936,22,14,28,15,14,24,15
MIR3684,0,2,7,0,7,2,5
MIR3911,4,4,5,0,2,6,12
MIR3934,25,18,13,4,19,27,18
MIR3679,30,8,16,4,10,17,18
MIR3662,0,4,1,3,2,3,1
MIR3657,4,12,8,0,11,14,5
MIR3611,4,7,11,4,7,6,13
MIR3692,6,0,2,4,0,0,0
MIR3691,2,1,0,2,2,7,0
MIR3942,2,7,17,6,5,6,2
MIR3613,15,8,1,2,1,11,5
MIR3944,4,0,6,0,2,6,6
MIR3680-1,7,14,11,0,10,5,7
TEX48,5,6,32,1,22,20,0
PRKAG2-AS1,64,49,9,35,21,76,48
PCAT19,0,0,11,0,10,0,0
LOC100505502,1,1,6,3,0,4,0
LINC02520,0,1,13,0,5,8,2
LINC01301,8,3,2,3,3,8,3
ISM1-AS1,25,14,17,14,16,45,12
RBM26-AS1,21,19,21,30,10,37,24
SLIT1-AS1,1,1,4,0,0,1,4
LINC01208,0,0,2,1,2,7,5
ATP8B1-AS1,139,106,70,75,69,161,120
LOC100505555,15,31,9,8,14,35,16
GOLGA7B-DT,2,6,6,2,2,1,0
LINC00578,0,0,3,0,0,7,2
INAFM2,324,232,314,281,232,645,372
LINC00672,77,44,95,43,68,73,42
GAPLINC,5,1,2,4,4,12,0
PARD3-DT,2,1,1,2,2,2,3
SNHG21,81,55,79,36,81,136,50
NDUFV1-DT,0,3,6,0,3,6,1
GTF3C2-AS1,20,17,31,3,16,28,26
LINC02102,1,6,10,13,6,5,0
LINC01133,0,0,12,2,1,0,0
MALINC1,114,143,116,83,87,163,93
FGD5-AS1,11692,9052,7830,8393,6742,14702,11249
RAD51-AS1,117,82,190,45,82,99,112
DIAPH1-AS1,64,50,123,67,80,113,53
DCST1-AS1,112,91,139,48,68,139,106
RRS1-DT,21,22,48,8,18,27,17
STARD4-AS1,135,189,116,132,72,183,133
UBE2Q2L,5,2,9,0,3,0,3
NAPA-AS1,38,34,50,34,41,65,61
LINC01431,23,38,59,19,32,29,33
LINC00888,58,58,137,32,96,101,86
FTO-IT1,58,33,69,42,53,86,39
SH3BP5-AS1,303,238,673,202,439,455,282
LOC100505715,8,6,11,3,2,4,13
LOC100505716,15,30,70,16,21,32,15
LOC100505736,28,12,38,18,12,44,12
MIR4458HG,71,102,83,79,100,139,95
SPATA1,31,18,63,32,52,45,22
ITGB2-AS1,24,22,40,8,28,18,14
PRMT5-AS1,34,28,39,13,20,30,23
C10orf95-AS1,555,504,431,278,289,656,562
SPDYE18,45,16,74,10,69,33,23
LINC01364,1,6,6,2,5,12,1
OSER1-DT,306,294,294,189,271,455,247
PBX1-AS1,65,31,212,27,121,147,66
CARD8-AS1,39,70,46,49,29,65,49
STK4-DT,5,17,15,9,9,33,9
ROPN1L-AS1,0,2,6,1,0,1,1
LOC100505851,0,13,6,10,7,27,13
APTR,234,371,192,159,171,402,256
CFAP58-DT,12,10,5,6,4,11,11
CEBPZOS,1716,1878,1577,1346,1443,2744,1553
SLIT2-IT1,2,0,5,1,0,7,1
TMEM161B-DT,82,78,80,41,45,128,40
LOC100505918,20,24,80,20,23,38,14
LINC02036,0,0,15,5,2,4,0
GLCCI1-DT,16,8,6,3,4,17,6
ICA1-AS1,207,177,164,113,166,261,224
LOC100505942,23,12,31,4,13,29,23
LINC00645,16,18,44,27,22,35,21
ENO1-AS1,25,16,31,19,26,25,13
LINC02478,2,0,24,0,12,4,6
SMIM31,0,0,3,2,4,5,4
TMEM210,20,8,20,2,19,13,24
LUCAT1,2,0,9,0,1,0,0
RTCA-AS1,6,1,8,6,7,7,1
PPP5D1P,14,24,23,22,16,36,14
APELA,5,1,0,0,1,2,2
LINC02606,9,14,10,6,8,26,14
LOC100506023,64,53,38,30,22,57,45
CRPPA-AS1,0,8,7,8,7,3,3
PTOV1-AS1,56,49,30,48,17,85,74
GAS5-AS1,263,338,300,150,236,344,245
RNASEH1-DT,125,126,83,71,60,213,108
SMG1P7,165,106,72,72,67,270,119
DACT3-AS1,7,0,7,1,17,4,2
RBFADN,9,9,11,1,4,22,5
LOC100506071,15,16,19,14,29,14,13
LINC02749,3,6,2,2,0,11,4
DDX19A-DT,42,48,58,41,42,52,65
ARL17B,0,2,5,1,0,2,1
LINC02275,0,0,1,3,5,2,0
ZDHHC12-DT,115,103,74,98,55,203,121
LINC01503,9,21,69,11,78,27,20
LOC100506124,57,47,46,23,28,42,36
ADCY6-DT,10,1,14,9,1,7,16
LINC00867,4,1,2,1,2,6,3
GVQW3,157,112,94,108,42,188,112
TTC21B-AS1,22,21,25,27,8,31,19
RHOQ-AS1,13,40,71,32,83,79,28
TMEM35B,145,116,165,101,123,200,170
TAF1A-AS1,11,16,20,13,10,25,11
HSFX1,3,1,0,0,1,9,0
STEAP1B-AS1,0,0,11,0,9,0,0
LINC00963,1067,866,1959,585,1473,1279,1064
LARGE-AS1,229,111,468,213,305,543,184
LOC100506207,36,42,16,16,21,67,41
PAXBP1-AS1,100,112,157,106,124,148,81
RAB30-DT,162,141,317,122,170,250,148
PTMAP9,10,12,12,16,18,18,12
SYT9-AS1,11,18,30,19,30,36,14
LOC100506271,4,1,3,0,1,10,9
LOC100506281,60,72,138,15,103,113,74
TBC1D8-AS1,17,35,20,9,22,41,22
ID2-AS1,42,39,46,34,37,66,31
RBM33-DT,125,132,138,108,100,222,123
HOTAIRM1,25,57,72,43,67,53,27
GPRC5D-AS1,95,88,120,85,48,185,102
LOC100506321,23,35,79,30,43,49,36
SP2-AS1,215,194,311,159,225,326,212
LINC00649,133,90,172,92,125,197,143
INKA2-AS1,9,15,42,4,39,25,5
OTUD6B-AS1,722,867,695,552,469,1011,632
FZD4-DT,38,27,29,8,23,47,39
EDDM13,164,121,184,75,173,233,108
RNF32-DT,61,101,84,41,107,97,49
LINC01426,5,8,2,1,5,4,2
SLC16A1-AS1,18,17,7,3,4,37,27
GAS6-DT,17,8,25,18,13,26,8
ELOVL2-AS1,4,1,3,13,5,21,3
LINC00871,12,21,18,23,23,22,7
DOCK4-AS1,17,4,35,10,23,32,17
CBR3-AS1,198,157,645,139,603,316,173
LINC00648,325,244,341,249,229,433,254
SPAG5-AS1,24,29,47,7,24,54,22
ITPKB-IT1,0,7,13,6,5,6,0
RASSF8-AS1,30,25,119,42,88,101,23
SRD5A3-AS1,10,13,10,1,6,19,10
TMEM147-AS1,368,487,359,181,332,608,307
LOC100506472,57,21,65,16,26,94,45
C2orf49-DT,111,136,111,86,72,154,84
MIDEAS-AS1,32,19,32,7,35,50,21
DSCAM-AS1,16299,11231,17032,7251,11539,16563,14268
LIFR-AS1,63,90,77,57,60,109,70
CPVL-AS2,12,17,11,5,17,27,8
PRKCZ-AS1,75,97,153,81,119,149,122
LINC01176,102,90,132,71,124,136,84
SPTY2D1OS,44,21,30,22,23,60,21
LOC100506551,79,75,148,86,115,207,89
THEGL,3,0,4,0,4,0,2
LINC02809,119,75,233,48,176,176,121
C16orf95,105,84,53,36,46,163,83
PPP1R26-AS1,161,140,223,92,166,247,120
VASH1-AS1,218,191,175,189,153,367,200
LOC100506606,37,39,52,39,28,60,18
PRKAR2A-AS1,19,49,27,18,26,41,18
LOC100506639,245,170,293,118,154,265,169
PXN-AS1,135,114,137,73,104,157,111
LCMT1-AS2,77,104,238,78,221,201,77
OCLN,367,444,402,234,442,649,432
DDX11-AS1,139,109,59,93,36,160,101
NRAV,352,301,356,265,298,573,355
MRPS30-DT,10,5,14,2,4,4,4
TTLL1-AS1,12,5,13,8,8,5,6
JARID2-AS1,14,9,50,6,25,35,10
LINC03012,3,0,3,0,3,2,0
IQCH-AS1,351,309,280,234,288,649,319
PCAT6,19,41,162,27,174,105,11
LINC00327,2,3,12,0,0,5,0
EBLN3P,3495,3634,3364,2478,2666,4621,3365
ALOX12-AS1,41,39,40,23,37,54,35
NUP50-DT,359,359,427,363,367,616,404
LOC100506730,268,210,186,218,137,371,270
AFF1-AS1,71,61,56,32,33,85,80
MGAT4FP,36,46,81,38,70,74,56
MAILR,116,140,113,59,133,203,103
MIR497HG,4,4,8,1,9,20,2
LINC00629,1,6,6,3,4,7,2
LINC01353,3,0,3,1,2,1,1
TRG-AS1,1,3,14,1,6,12,0
TSPOAP1-AS1,55,40,55,23,19,42,40
ECE1-AS1,33,16,88,10,32,71,32
TMEM30A-DT,8,16,5,6,12,13,13
LINC01132,13,13,53,3,49,8,12
MYLK-AS1,57,53,80,15,74,110,72
GIHCG,14,5,3,1,2,14,6
LINC00513,24,19,86,13,80,59,21
TTN-AS1,48,63,56,37,63,71,43
LINC00933,18,9,17,9,12,30,12
MKLN1-AS,40,33,46,18,28,45,31
CHRM3-AS2,6,9,16,11,10,21,12
MAP3K2-DT,134,187,242,103,194,322,212
LINC00665,58,65,72,15,47,102,46
PRKG1-AS1,9,3,35,3,29,9,8
ELOA-AS1,6,16,14,12,11,18,14
NCMAP-DT,129,160,173,160,122,231,81
FAM86B2-DT,129,89,78,87,48,200,105
PTPRG-AS1,835,540,376,403,177,889,763
LOC100507002,22,17,12,11,0,7,21
GFY,5,2,3,0,0,3,0
BMPR1B-DT,0,5,1,0,2,6,1
TMCC1-DT,23,24,34,27,18,31,26
PITRM1-AS1,103,115,183,73,208,260,153
TPBGL,19,16,16,14,11,38,14
LOC100507053,36,41,158,28,130,99,30
CCAT1,6,7,18,5,19,24,13
MELTF-AS1,128,109,74,47,46,173,150
PSMD6-AS2,528,496,716,419,491,855,461
CLIP1-AS1,22,37,126,28,117,65,23
DLG1-AS1,6,17,24,5,8,24,14
PITPNM2-AS1,10,10,21,11,25,4,10
FRY-AS1,0,2,6,0,3,7,5
ASAP1-IT2,31,26,33,16,34,55,23
PRC1-AS1,57,55,25,19,12,81,51
SPART-AS1,3,6,6,2,2,13,4
LOC100507156,0,1,34,1,48,4,2
BOLA3-DT,79,91,61,32,50,104,71
LINC01012,63,99,126,53,99,126,104
SLFNL1-AS1,141,91,112,74,54,164,92
SMLR1,1,1,5,5,0,7,0
CHASERR,822,1084,1190,539,944,1268,789
RNF157-AS1,6,1,35,9,10,10,13
VWA8-AS1,6,6,9,3,7,16,6
SNHG16,14444,19500,10245,15051,11742,31800,13875
LOC100507250,14,7,11,4,9,33,17
STX18-AS1,61,72,65,52,42,89,45
MSANTD2-AS1,9,24,24,11,17,38,19
ZNF865,1448,1550,1413,588,1250,2342,1549
COPB2-DT,52,105,111,53,90,114,42
TMEM44-AS1,216,197,205,147,134,349,166
SMC5-DT,43,60,43,54,54,110,41
ALKBH3-AS1,26,13,31,16,36,34,11
SNHG19,434,491,407,223,334,723,455
TARID,0,2,14,0,1,2,4
MINCR,124,150,164,57,119,132,122
ERVK13-1,982,652,1624,614,1253,1477,940
ZSWIM8-AS1,17,12,26,8,31,29,13
SMIM18,14,7,26,8,12,17,11
LOC100507346,4,2,16,2,17,10,2
VIM-AS1,50,38,59,56,42,89,58
LOC100507351,1,0,5,0,5,0,0
ADGRL1-AS1,256,212,535,177,403,531,284
LINC02882,8,1,2,0,1,12,8
KCNQ5-IT1,15,28,17,14,31,39,14
PARM1-AS1,0,1,18,2,9,5,1
LINC01968,6,8,1,5,2,15,5
INTS6-AS1,20,17,58,25,50,46,23
LRP4-AS1,6,1,7,3,1,10,2
TMLHE-AS1,0,0,8,0,4,5,0
MMP25-AS1,222,152,417,92,223,319,191
LINC01605,4,4,5,0,1,19,3
TMEM178B,475,602,910,290,706,824,450
MKNK1-AS1,11,30,53,8,30,38,9
ZNF571-AS1,15,4,21,6,17,20,17
MTA1-DT,51,46,61,26,46,99,58
ZNF213-AS1,319,259,355,172,283,406,282
NRSN2-AS1,268,320,497,253,395,422,324
CCDC28A-AS1,11,19,14,3,4,7,8
DPH6-DT,8,7,17,1,10,5,0
CT66,3,4,0,3,0,3,5
LOC100507472,33,38,49,30,12,73,29
IDH1-AS1,4,4,8,4,1,4,1
LINC02615,56,40,111,51,92,72,51
SDCBP2-AS1,110,125,269,105,155,252,114
EGFR-AS1,4,1,5,2,8,0,4
LINC01569,198,155,260,75,142,322,167
ECI2-DT,7,9,2,7,8,5,4
ARHGEF26-AS1,30,26,45,45,40,88,61
MCPH1-AS1,19,13,16,10,28,26,8
LOC100507547,3,3,1,0,4,4,5
EPM2A-DT,19,13,14,5,23,28,8
MAGOH-DT,39,31,39,16,27,91,41
RAB11B-AS1,147,133,191,55,130,285,126
BHLHE40-AS1,73,32,128,34,90,71,75
LINC01016,34,38,106,21,139,64,24
TGFBR3L,202,125,206,117,223,305,186
NAGPA-AS1,4,0,10,6,5,9,9
TRIM52-AS1,523,519,402,386,276,751,476
NPIPB9,50,35,75,40,15,84,43
TNKS2-DT,27,34,4,18,9,17,13
LOC100507634,20,44,18,10,29,55,10
RNF212B,88,89,174,124,131,202,93
MARK2P9,0,1,9,2,5,0,4
C13orf46,4,2,51,2,27,7,12
GMDS-DT,104,90,103,66,88,126,67
AQP7B,4,5,14,0,6,15,3
CPB2-AS1,16,18,25,8,16,19,14
SMC4,6698,6159,3096,4743,1984,8530,6077
GJC1,5,2,7,1,56,6,3
RBM14-RBM4,3,1,1,0,0,1,5
RNF103-CHMP3,10,17,24,4,14,14,8
SLX1A-SULT1A3,29,16,22,0,15,37,34
SEPT5-GP1BB,13,13,21,8,15,32,14
RPL17-C18orf32,1,5,0,0,0,3,3
GJA9-MYCBP,1,5,3,2,16,10,5
LHX4-AS1,405,312,511,230,311,593,395
TLCD4-RWDD3,11,2,16,0,10,13,9
POC1B-GALNT4,3,2,2,0,1,5,0
ARMCX5-GPRASP2,57,50,55,44,54,52,55
BCL2L2-PABPN1,47,25,15,23,12,40,37
TEN1-CDK3,28,23,16,5,20,53,23
RNASEK-C17orf49,1,8,4,1,1,6,1
TMEM256-PLSCR3,3,0,4,1,4,7,2
AP1M2,2380,2605,3228,1727,2932,4403,2464
NPHP3-ACAD11,23,38,51,16,42,43,24
C8orf44-SGK3,6,0,1,4,0,2,0
ZHX1-C8orf76,54,44,52,11,45,65,46
RTEL1-TNFRSF6B,5,4,3,0,0,2,3
ZNF670-ZNF695,11,7,7,0,4,5,7
SEC24B-AS1,27,15,37,14,20,32,33
SENP3-EIF4A1,19,9,15,1,17,22,16
P2RX5-TAX1BP3,67,55,47,61,40,109,66
STX16-NPEPL1,30,60,57,15,45,52,42
C1QTNF3-AMACR,11,10,16,6,15,30,6
UBA2,6946,6975,4584,6010,4274,9790,6342
SAE1,5207,4068,3041,2859,2051,6388,4598
FARSB,2281,2221,1615,1683,1434,2942,2056
ABCC5,7027,5538,10409,6317,8353,14138,6859
ABCB6,1911,1827,2091,1035,1702,2683,1774
DNM1L,2751,3001,2655,2740,3260,4442,2373
ABCC9,0,2,17,5,5,18,2
ABCF2,2440,2251,2264,1643,2179,3609,2139
MIR4793,1,0,1,0,6,4,3
MIR4648,0,7,20,3,27,17,6
MIR4653,49,33,60,19,52,74,38
MIR4686,0,6,2,5,1,4,1
MIR4526,7,0,17,5,14,8,14
MIR4728,5,4,27,2,11,14,8
MIR4534,6,4,0,2,1,0,5
MIR4760,0,1,4,3,9,6,3
MIR4512,6,2,5,1,10,1,8
MIR4720,41,37,71,14,87,55,40
MIR4480,4,4,9,2,2,3,9
MIR4804,5,2,1,3,10,7,3
MIR4505,17,13,65,13,78,41,16
MIR4754,7,11,1,1,13,12,15
MIR4514,2,6,0,0,3,0,0
MIR4513,4,9,25,6,21,24,13
MIR3972,0,1,0,0,12,0,0
MIR4477B,22,16,23,16,31,34,16
MIR4729,0,0,4,0,7,4,0
MIR4652,5,4,14,6,12,23,11
MIR4782,1,0,5,0,3,7,3
MIR4737,80,81,87,79,78,86,97
MIR4756,3,0,27,3,6,5,2
MIR4519,5,3,12,2,4,14,9
MIR4673,0,0,10,0,12,1,0
MIR151B,20,19,34,19,13,37,16
MIR4768,0,0,10,2,3,1,3
MIR4762,4,3,7,4,4,15,5
MIR3975,4,4,3,0,5,0,0
MIR4516,4,2,14,1,6,8,11
MIR378I,12,8,6,9,2,22,14
MIR4663,0,0,6,0,0,1,4
MIR4504,5,1,7,1,4,3,3
MIR4701,6,6,6,0,7,17,7
MIR4639,2,7,14,0,4,12,0
MIR4651,1,0,5,0,2,1,2
MIR4802,1,1,3,1,9,13,2
MIR4766,6,11,19,4,5,15,8
MIR4489,1,5,1,4,7,6,5
MIR4674,8,4,16,4,7,10,4
MIR378H,8,3,3,0,9,10,7
MIR4650-1,5,0,4,0,1,3,0
MIR4750,3,2,5,2,2,4,2
MIR4777,5,3,3,6,5,3,5
MIR4481,0,2,5,0,1,3,1
MIR4482,10,11,3,2,10,2,2
MIR4484,1,3,13,3,5,4,0
MIR4435-2,4,0,3,0,5,3,5
MIR4426,3,4,7,3,10,7,1
MIR4531,7,1,14,0,12,19,2
MIR4774,2,2,6,3,6,19,4
MIR4730,2,0,5,2,0,2,7
MIR4467,17,15,11,0,12,32,16
MIR4784,21,30,18,6,11,32,14
MIR548AC,9,2,6,5,9,11,6
MIR4654,5,3,13,0,12,25,14
MIR3064,230,187,348,111,307,323,186
MIR4427,5,2,11,0,9,7,6
MIR4789,3,1,5,3,2,4,2
MIR4712,67,37,69,32,42,115,50
MIR4691,45,18,41,25,27,53,24
MIR5047,731,775,1541,380,1205,1056,649
MIR4761,8,2,6,0,8,8,4
MIR4434,12,13,8,2,4,11,0
MIR4748,8,3,12,0,11,1,5
MIR4714,4,2,21,1,19,25,6
MIR4755,5,1,3,0,3,0,1
MIR4449,1,3,6,0,2,7,0
MIR1343,3,0,0,0,2,13,1
MIR4725,6,1,7,4,5,1,4
MIR4656,4,4,4,0,2,5,2
MIR4742,2,0,3,0,8,10,0
MIR4429,36,53,112,42,82,105,38
MIR4446,10,5,11,4,10,12,7
MIR4479,2,2,2,0,0,4,4
MIR4698,4,0,6,3,0,0,3
MIR4517,35,16,21,13,22,40,21
MIR3978,2,1,14,0,0,4,2
MIR4435-1,3,1,1,9,0,15,1
CFAP418-AS1,26,6,26,9,6,10,11
TPTE2P5,124,101,118,111,93,174,116
NR1H3,165,177,241,69,196,215,193
DNM3OS,1,4,24,6,5,4,0
COX17,162,178,209,181,164,340,200
PARTICL,92,120,87,20,69,121,58
LOC100630923,3,0,2,0,2,7,1
LINC00659,71,107,259,54,226,208,82
LINC01311,148,130,164,48,89,180,164
RAET1E-AS1,13,15,16,8,6,24,12
PYCARD-AS1,8,15,15,5,4,16,3
TIMM23B,482,515,536,276,402,785,429
LOC100652758,23,46,32,31,42,77,30
PRICKLE2-AS1,60,84,222,78,309,145,43
LOC100652768,19,13,79,17,50,38,32
DSG2-AS1,6,5,6,3,17,6,5
NNT-AS1,244,209,225,164,135,335,243
SNX29P1,80,57,77,41,78,174,73
KIAA2012,8,7,54,11,36,28,6
LOC100652833,5,0,9,0,2,2,0
LINC01023,24,39,15,9,26,26,36
LINC00539,33,27,36,21,30,61,50
ALOX15P1,17,9,28,10,24,20,11
LINC02078,6,8,13,1,2,5,4
LOC100652999,0,9,12,3,10,9,5
MIR3147HG,2,6,11,4,10,4,5
CEP295NL,1,5,34,0,53,28,4
SCAMP2,2470,2414,2726,1641,2794,4525,2351
SCAMP3,0,0,1,0,0,371,0
IL18BP,473,466,788,270,640,796,464
POU6F2-AS2,122,147,158,62,92,139,100
RWDD2B,678,821,914,622,668,1091,707
MUC12,1,4,4,0,7,0,0
DPP3,2452,2722,2723,1899,3157,5215,2450
SNUPN,204,222,162,220,94,370,203
HUWE1,22638,23973,27444,17946,25828,34234,21604
PCAT1,47,20,54,25,39,35,16
HIF1A-AS2,10,4,4,8,4,6,11
PTPRU,4292,4216,6724,2354,6387,6351,4258
TSPAN32,24,11,30,13,31,36,26
KLHL7-DT,7,18,13,10,18,20,17
RBM5-AS1,193,88,365,111,261,328,205
TSSC4,730,801,818,325,736,1359,689
ATP9A,8948,6637,10572,5430,9596,11896,8683
CDH10,62,29,77,26,16,56,55
PDCD7,1172,1288,973,795,903,1849,1143
GPC6,4,0,9,2,0,3,3
MYZAP,24,19,17,8,9,20,17
PQBP1,605,665,596,424,445,1159,650
LINC00506,1,0,6,0,4,0,0
MIR5009,8,0,15,2,13,18,3
MIR4444-2,54,31,33,11,32,91,44
MIR5188,7,0,14,1,14,7,3
MIR5581,10,2,34,1,12,11,8
MIR5692B,5,2,3,1,1,2,0
MIR5692C2,18,7,16,11,19,25,14
MIR5585,2,3,3,0,6,8,0
MIR5687,0,0,4,0,6,1,2
MIR5093,6,4,5,0,3,3,9
MIR5587,12,11,21,0,18,36,14
MIR5003,8,0,0,5,7,3,2
MIR548AT,4,5,1,3,5,2,2
MIR548AR,10,4,8,1,0,7,11
MIR3680-2,2,7,9,0,1,6,6
MIR5087,31,46,18,14,18,23,25
MIR548AU,3,3,8,0,2,1,1
MIR5010,2,4,18,2,7,8,10
MIR5690,3,1,5,0,4,0,3
MIR4999,4,5,7,1,10,2,3
MIR5191,15,6,9,7,9,33,21
MIR5194,2,6,36,15,20,13,1
MIR5189,3,3,12,3,20,14,8
MIR5094,8,0,4,0,3,6,1
MIR5692A1,8,3,3,4,13,15,5
MIR5684,0,0,4,1,5,1,1
MIR5008,3,0,13,0,12,6,3
MIR5685,4,0,6,3,0,4,0
MIR5190,1,0,8,1,2,4,1
MIR5703,4,0,0,0,1,5,1
MIR5699,3,0,8,0,33,15,2
MIR5192,0,4,10,1,14,4,2
MIR5187,2,0,6,0,0,4,7
EDIL3,34,23,651,28,974,79,45
ZRANB2-DT,6,6,13,3,21,13,10
LINC00536,3,0,18,0,6,4,12
HEIH,319,395,361,239,260,590,324
RAI1-AS1,53,27,127,29,113,97,29
P4HA2-AS1,1,3,1,0,4,3,3
GDNF-AS1,0,3,5,0,2,3,0
RPS6KA2-AS1,5,5,3,8,5,7,1
CYP3A7-CYP3A51P,2,4,14,4,14,22,2
DOCK9-DT,14,19,11,3,26,34,18
PINK1-AS,215,276,177,166,193,378,200
LINC00562,13,17,35,15,19,28,15
LINC00565,7,13,13,2,9,12,2
LINC00572,3,2,10,0,7,8,2
TMEM265,563,507,955,378,1143,1045,619
NAALADL2-AS3,11,15,33,9,30,14,1
DIP2A-IT1,52,54,130,42,83,91,51
RB1-DT,6,9,5,9,1,6,9
CERT1,2123,2107,2759,1665,2290,3179,2058
SRGAP2-AS1,11,5,3,1,7,11,4
RNU6-30P,0,2,0,2,7,1,0
RNU6-33P,6,13,6,18,19,20,6
RNU6-19P,4,12,15,6,3,11,7
RNU6-28P,2,16,14,1,12,8,4
RNU6-36P,0,1,25,4,1,1,16
RNU6-45P,4,4,4,3,2,6,4
RNU6-57P,8,12,8,4,2,6,5
RNU6-59P,4,1,13,0,3,3,1
RNU6-69P,3,6,7,5,3,2,4
RNU6-79P,1,2,6,6,1,3,1
RNU6-82P,10,4,33,9,12,27,6
LPP-AS1,3,3,8,2,15,11,7
NHS-AS1,0,0,9,0,16,0,0
ZFX-AS1,6,1,0,1,2,1,0
DLG3-AS1,17,18,16,7,15,40,16
MTOR-AS1,18,10,21,12,10,10,3
LNX1-AS1,1,2,9,0,3,4,0
OPA1-AS1,40,31,64,35,37,69,31
PRKX-AS1,3,12,23,3,22,21,6
IPO9-AS1,13,19,9,11,18,44,18
SNRK-AS1,5,3,18,9,13,11,4
LNX1-AS2,1,5,9,2,2,0,1
MED4-AS1,9,8,18,5,6,12,5
KCNC4-DT,2,1,0,0,2,8,2
RERG-AS1,14,10,11,6,7,22,6
ABCC5-AS1,38,12,63,21,66,56,26
MAGI1-AS1,28,10,56,40,53,89,27
CHRM3-AS1,1,2,5,2,6,5,5
MED14OS,19,14,12,2,10,24,10
FGF12-AS1,12,2,17,8,4,10,6
HCFC1-AS1,50,80,70,16,43,78,46
KCND3-AS1,0,1,2,0,1,8,2
KCNQ5-AS1,3,6,4,4,3,11,0
MEIS1-AS2,5,8,3,3,3,11,3
OXCT1-AS1,16,21,12,11,10,19,11
VIPR1-AS1,2,3,2,1,4,0,3
SYNPR-AS1,24,21,22,15,16,45,26
EPN2-AS1,74,41,152,70,98,142,72
CFAP44-AS1,10,4,29,13,15,20,11
AGBL5-AS1,1,2,5,2,3,1,5
PRRT3-AS1,21,27,53,28,25,47,20
THOC7-AS1,218,208,306,136,190,294,171
