Genes,WT_serum_Sc_2,R175_serum_A5,WT_doxo_Sc,WT_serum_A5_1,WT_doxo_A5,WT_serum_A5_2,WT_serum_Sc_1
SLC11A2,3232,2467,3349,1611,1941,3429,2918
NRAP,3,7,11,10,8,7,7
NRAS,20201,30319,21934,19657,23262,35550,19500
NRCAM,8581,13141,13428,9691,17349,15834,7675
NRDC,3255,4142,3759,2776,3446,5456,3087
NRF1,1083,999,738,749,624,1518,1076
ACR,0,5,5,0,1,5,0
ATP2B1,6918,6905,14077,6593,14945,11232,6334
NRGN,295,156,124,100,32,326,233
NRL,125,131,128,57,115,200,107
NRTN,93,64,29,43,23,151,114
YBX1,3709,4523,2571,2724,2729,6222,3459
NSF,48,95,82,117,45,128,40
NT5E,66,35,527,76,779,138,73
NTF4,24,12,73,14,39,24,14
ATP2B2,3,0,22,15,12,4,0
NTHL1,690,601,316,298,291,1045,626
NTRK1,2,1,3,0,5,4,0
NTRK2,9,12,37,9,24,4,12
NTRK3,0,0,0,0,53,0,0
NTN3,89,40,121,22,63,109,72
ROR1,29,35,39,35,50,70,35
ATP2B3,13,2,10,3,10,16,7
ROR2,1051,1183,478,555,333,1498,1120
DDR2,59,63,64,29,66,75,54
NTSR1,91,177,280,87,329,303,99
GEMIN8P4,27,43,18,27,10,35,45
IGIP,483,349,499,379,553,625,370
NUCB1,4388,4852,3475,2027,3283,6632,4332
NUCB2,2844,4937,1124,2297,1027,3771,2684
NUMA1,15182,14396,15692,7204,10444,19004,14082
NUP88,1602,1593,1267,983,977,1863,1488
NUP98,5363,5249,5699,4084,4913,7972,4809
NR4A2,435,353,871,242,1052,443,348
ATP2B4,1849,1240,3218,1153,2336,2404,1759
NVL,2358,1394,2223,1439,1373,2701,2348
GPR143,164,187,174,116,155,314,211
COA5,534,606,578,481,544,825,489
RABGEF1P1,678,661,910,492,756,1082,680
OAS1,20,11,25,4,12,16,26
HCG11,955,1105,685,785,446,1455,915
CISD2,2055,2490,776,1721,710,3133,1891
CCDC73,17,11,39,13,29,17,19
EID3,48,64,237,36,84,132,35
GPX8,347,604,83,334,63,468,308
OAS2,12,13,20,15,11,14,12
TMEM9B-AS1,28,19,33,23,15,48,25
PHOSPHO2,277,203,175,162,129,392,215
OAS3,1091,359,515,446,259,1052,949
RBMXL1,1269,1189,980,927,694,1562,1205
CHAC2,261,220,149,242,86,393,242
OAT,2065,1793,1579,1471,1175,2685,2072
TBC1D25,524,484,524,316,402,871,510
MIR378A,0,7,8,0,6,6,8
MIR425,5,0,5,0,9,4,3
RNF165,574,382,183,303,113,763,571
PJVK,23,35,32,6,21,29,39
TYMSOS,90,76,170,58,104,176,116
OAZ1,8824,9716,6108,6094,6082,15558,8574
OAZ2,1234,1176,1320,737,1077,1973,1254
ATP4A,3,11,4,2,5,16,6
OCRL,3344,4823,3615,3618,4298,6678,3071
ODC1,2951,4554,2419,3013,2792,5592,2830
ODF2,2363,2128,1998,1524,1462,2860,2126
OMD,47,41,91,29,42,116,46
ATP4B,12,3,12,0,8,28,9
OGDH,4057,3772,5246,2840,4879,7054,3965
OGG1,870,809,911,522,724,1577,915
