"","genename","ensembleID","entrezgene_id"
"STMN4","STMN4","ENSG00000015592",81551
"NUDCD3","NUDCD3","ENSG00000015676",23386
"ISL1","ISL1","ENSG00000016082",3670
"CHDH","CHDH","ENSG00000016391",55349
"IL20RA","IL20RA","ENSG00000016402",53832
"CLCA1","CLCA1","ENSG00000016490",1179
"CLCA4","CLCA4","ENSG00000016602",22802
"GLT8D1","GLT8D1","ENSG00000016864",55830
"ATP2C1","ATP2C1","ENSG00000017260",27032
"ENSG00000017373","ENSG00000017373","ENSG00000017373",NA
"IGF1","IGF1","ENSG00000017427",3479
"SLC38A5","SLC38A5","ENSG00000017483",92745
"ENSG00000017621","ENSG00000017621","ENSG00000017621",NA
"RALBP1","RALBP1","ENSG00000017797",10928
"RUFY3","RUFY3","ENSG00000018189",22902
"CNTN1","CNTN1","ENSG00000018236",1272
"SLC11A1","SLC11A1","ENSG00000018280",6556
"WWTR1","WWTR1","ENSG00000018408",25937
"AGPS","AGPS","ENSG00000018510",8540
"ZNF806","ZNF806","ENSG00000018607",646915
"CXorf56","CXorf56","ENSG00000018610",63932
"ATP1A2","ATP1A2","ENSG00000018625",477
"TTC27","TTC27","ENSG00000018699",55622
"ZNF582","ZNF582","ENSG00000018869",147948
"VSIG2","VSIG2","ENSG00000019102",23584
"PHLDB1","PHLDB1","ENSG00000019144",23187
"MARCO","MARCO","ENSG00000019169",8685
"CYP24A1","CYP24A1","ENSG00000019186",1591
"PRDM11","PRDM11","ENSG00000019485",56981
"SYT13","SYT13","ENSG00000019505",57586
"SNAI2","SNAI2","ENSG00000019549",6591
"CD74","CD74","ENSG00000019582",972
"HGF","HGF","ENSG00000019991",3082
"ZRANB1","ZRANB1","ENSG00000019995",54764
"NCDN","NCDN","ENSG00000020129",23154
"ADGRA2","ADGRA2","ENSG00000020181",25960
"CCT8L1P","CCT8L1P","ENSG00000020219",NA
"ZFP64","ZFP64","ENSG00000020256",55734
"MNAT1","MNAT1","ENSG00000020426",4331
"SAMD4A","SAMD4A","ENSG00000020577",23034
"RUNX3","RUNX3","ENSG00000020633",864
"MRE11A","MRE11A","ENSG00000020922",4361
"PLEKHB1","PLEKHB1","ENSG00000021300",58473
"SERPINB1","SERPINB1","ENSG00000021355",1992
"CYP3A43","CYP3A43","ENSG00000021461",64816
"SLC7A9","SLC7A9","ENSG00000021488",11136
"SPAST","SPAST","ENSG00000021574",6683
"NRXN3","NRXN3","ENSG00000021645",9369
"OSBPL5","OSBPL5","ENSG00000021762",114879
"AQR","AQR","ENSG00000021776",9716
"CPS1","CPS1","ENSG00000021826",1373
"C8B","C8B","ENSG00000021852",732
"FHL1","FHL1","ENSG00000022267",2273
"RTFDC1","RTFDC1","ENSG00000022277",51507
"GABRA1","GABRA1","ENSG00000022355",2554
"NLRP2","NLRP2","ENSG00000022556",55655
"SLC45A4","SLC45A4","ENSG00000022567",57210
"RNF10","RNF10","ENSG00000022840",9921
