Genes,control_1,control_2,Nutlin_1,Nutlin_2
LOC100506606,27,24,37,17
PRKAR2A-AS1,8,14,30,21
LOC100506639,132,155,167,121
PXN-AS1,353,320,400,298
OCLN,1298,1361,1607,1003
DDX11-AS1,36,44,17,4
NRAV,270,264,538,302
TTLL1-AS1,4,2,5,6
JARID2-AS1,7,9,6,5
IQCH-AS1,183,160,296,166
LINC02985,3,6,6,6
PCAT6,24,23,127,77
EBLN3P,1340,1193,1913,1123
ALOX12-AS1,18,12,23,15
NUP50-DT,61,66,99,47
LOC100506730,56,50,46,51
SLFN12L,28,18,25,21
AFF1-AS1,70,55,85,50
MGAT4FP,6,4,4,4
AGAP1-IT1,5,1,9,2
MAILR,22,21,32,19
MIR497HG,67,57,61,43
OR7E37P,6,5,10,5
TSPOAP1-AS1,340,351,476,252
TMEM30A-DT,11,4,13,2
LINC01132,13,6,27,24
MYLK-AS1,58,70,84,46
GIHCG,8,12,11,12
TTN-AS1,63,67,117,87
LINC00933,11,7,20,10
MKLN1-AS,8,14,29,10
LNC-LBCS,73,115,175,164
LL0XNC01-250H12.3,32,33,38,28
MAP3K2-DT,25,38,30,21
PRKG1-AS1,44,38,60,38
ELOA-AS1,115,95,100,61
NCMAP-DT,7,10,14,14
FAM86B2-DT,36,56,73,35
PTPRG-AS1,233,316,66,60
LOC100507002,33,42,19,17
TMCC1-DT,14,15,15,6
PITRM1-AS1,352,326,416,273
LOC100507053,7,14,83,49
MELTF-AS1,83,56,45,23
PSMD6-AS2,80,96,100,71
PIWIL2-DT,6,4,3,4
DLG1-AS1,12,21,19,10
LINC02937,2,0,7,5
PRC1-AS1,486,470,61,50
LOC100507156,4,4,5,2
BOLA3-DT,23,24,23,21
LINC01012,14,15,26,21
SLFNL1-AS1,25,25,31,22
CHASERR,1019,981,1300,852
RNF157-AS1,10,11,13,6
SNHG16,1977,1685,2777,1421
LOC100507250,3,6,3,5
STX18-AS1,20,14,23,10
MSANTD2-AS1,2,4,4,6
ZNF865,535,517,556,417
COPB2-DT,19,26,41,53
TMEM44-AS1,77,69,149,58
SMC5-DT,15,15,17,16
SNHG19,1524,1288,1644,781
MINCR,135,93,205,92
ERVK13-1,287,336,385,298
ZSWIM8-AS1,131,133,295,173
LOC100507346,10,16,10,7
VIM-AS1,30,30,67,52
ADGRL1-AS1,110,95,108,69
LOC100507395,4,4,5,4
INTS6-AS1,12,13,8,6
LRP4-AS1,12,11,10,9
LOC100507403,6,7,7,4
TMLHE-AS1,6,6,14,11
LOC100507412,143,152,140,212
FAM220CP,19,20,29,22
MMP25-AS1,120,116,220,145
LINC01605,3,3,4,2
TMEM178B,902,693,1835,1074
MKNK1-AS1,23,25,37,22
ZNF571-AS1,6,8,6,9
MICA,601,514,903,536
MTA1-DT,24,23,12,12
ZNF213-AS1,161,115,175,110
NRSN2-AS1,77,73,205,120
CCDC28A-AS1,7,6,8,4
PSMB8-AS1,108,86,267,153
DPH6-DT,4,8,0,1
LOC100507472,10,7,12,9
IDH1-AS1,14,9,16,6
LINC02615,5,5,33,27
SDCBP2-AS1,26,26,47,27
EGFR-AS1,5,4,7,3
LINC01569,94,79,174,87
FAM131B-AS2,167,132,269,173
LINC02984,75,96,591,316
ARHGEF26-AS1,9,5,18,13
MCPH1-AS1,12,6,11,4
LINC01504,3,0,9,4
LOC100507547,40,35,49,34
PGLS-DT,41,41,63,42
RPL37A-DT,49,42,56,46
EPM2A-DT,30,30,26,27
MAGOH-DT,31,39,52,32
RAB11B-AS1,61,58,125,62
BHLHE40-AS1,3,5,14,3
LINC01016,9,14,74,81
TGFBR3L,113,77,75,42
NAGPA-AS1,6,6,9,8
TFIP11-DT,138,115,197,81
TRIM52-AS1,167,164,165,115
