Genes,control_1,control_2,Nutlin_1,Nutlin_2
PPT2-EGFL8,202,164,184,111
C8orf44-SGK3,203,188,216,131
ZHX1-C8orf76,532,549,669,436
RTEL1-TNFRSF6B,842,742,524,370
ZNF670-ZNF695,55,56,20,18
UBE2F-SCLY,236,237,337,201
SEC24B-AS1,15,15,12,5
ZNF664-RFLNA,148,145,149,101
ARHGAP19-SLIT1,91,103,45,32
FAM24B-CUZD1,18,24,16,8
PRH1-PRR4,47,45,45,29
BIVM-ERCC5,358,346,541,324
DNAAF4-CCPG1,1476,1508,2197,1332
TVP23C-CDRT4,80,83,120,88
LRRC37A8P,15,24,3,4
RBAK-RBAKDN,46,42,75,39
SENP3-EIF4A1,8446,7705,7657,4573
P2RX5-TAX1BP3,1261,1130,1903,1181
SLMO2-ATP5E,5579,5285,6990,4145
TNFAIP8L2-SCNM1,403,397,439,244
URGCP-MRPS24,793,670,699,426
STX16-NPEPL1,2468,2319,4179,2550
HNRNPUL2-BSCL2,4179,4183,3987,2614
ISY1-RAB43,565,590,838,500
TM4SF19-DYNLT2B,58,68,70,51
C1QTNF3-AMACR,126,128,170,119
UBA2,4183,3996,2869,1769
SAE1,5123,5229,4200,2632
FARSB,2962,2881,2002,1350
ABCC5,1913,2275,3238,2898
ABCB6,2144,1768,3328,1758
DNM1L,2062,2038,2381,1496
ABCC9,8,6,11,5
ABCF2,2174,2067,2044,1299
MIR4793,8,5,11,6
MIR4680,25,24,51,43
MIR4653,4,6,13,8
MIR4523,21,6,14,10
MIR4647,83,61,113,74
MIR4741,4,4,4,1
MIR4720,11,17,32,21
MIR4722,7,6,8,5
MIR4477A,3,3,4,3
MIR4477B,3,8,4,4
MIR4737,25,22,36,21
MIR4709,50,53,65,39
MIR4724,4,3,4,6
MIR4721,175,170,163,117
MIR4701,4,5,12,4
MIR4690,6,5,1,3
MIR4674,2,1,17,14
MIR4750,4,9,9,4
MIR4664,19,12,21,15
MIR4700,28,24,31,27
MIR4758,7,4,13,6
MIR4426,742,673,925,613
MIR4800,8,8,48,29
MIR4775,6,6,9,5
MIR4492,4,2,8,6
MIR4784,15,7,4,3
MIR3064,122,124,206,147
MIR4657,23,29,38,26
MIR4444-1,170,207,211,109
MIR4712,10,13,16,8
MIR3198-2,40,62,24,22
MIR4691,5,4,12,9
MIR5047,232,216,418,264
MIR4761,225,180,325,181
MIR4707,38,37,21,18
MIR4658,11,6,25,12
MIR4687,5,5,8,2
MIR4442,32,31,53,33
MIR4751,84,63,63,42
MIR4517,8,16,8,11
TPTE2P5,127,107,93,59
NR1H3,330,288,513,301
COX17,1301,1206,1064,603
PARTICL,113,108,115,63
LOC100630923,266,242,337,226
FAM47E-STBD1,227,251,302,210
LINC00659,18,19,34,31
LINC01311,50,62,29,18
RAET1E-AS1,123,102,162,78
PYCARD-AS1,91,73,163,98
TIMM23B,215,215,201,139
LOC100652758,95,105,106,54
PRICKLE2-AS1,433,464,1360,910
LOC100652768,59,47,170,86
DSG2-AS1,55,75,54,34
NNT-AS1,347,320,403,251
LOC100652777,13,7,53,22
SNX29P1,15,11,17,15
LINC01023,49,29,74,35
LINC00539,5,6,7,6
ALOX15P1,17,17,22,19
LOC100652999,146,136,192,119
SCAMP2,2040,1963,2753,1784
SCAMP3,1419,1311,1469,989
IL18BP,173,150,170,127
POU6F2-AS2,19,23,35,23
RWDD2B,722,723,1029,707
DPP3,3382,3147,4388,2937
SNUPN,184,181,237,156
HUWE1,8269,8963,7599,8019
PCAT1,2,2,5,5
HIF1A-AS1,89,66,113,82
HIF1A-AS2,488,333,511,358
PTPRU,1168,958,2603,1420
KLHL7-DT,5,13,4,9
RBM5-AS1,65,55,86,53
TSSC4,848,759,752,516
ATP9A,3541,3179,5332,3244
PDCD7,647,693,689,460
GPC6,621,538,765,491
MYZAP,150,129,158,115
PQBP1,1667,1548,1439,917
MIR4444-2,45,54,61,31
MIR5004,4,4,4,2
MIR5006,2,5,8,5
MIR5587,10,5,13,3
MIR5001,4,6,4,3
MIR5572,6,8,10,5
MIR5010,4,4,7,8
MIR5090,13,7,13,9
MIR5703,5,9,3,2
MIR5187,3,5,5,4
CARS1-AS1,80,61,94,47
LINC00536,1,3,5,3
HEIH,173,166,266,151
CERS6-AS1,1201,1053,1118,653
FSBP,118,92,81,55
ZMYM4-AS1,25,37,43,19
OCIAD1-AS1,19,12,14,11
P4HA2-AS1,35,40,73,44
UFL1-AS1,28,17,51,30
RNA45SN5,7125,5732,13654,24051
DOCK9-DT,13,9,18,11
LINC00566,4,4,5,4
PINK1-AS,441,425,739,476
LINC00565,0,3,18,9
SCAANT1,25,23,16,9
TMEM265,205,183,462,308
DIP2A-IT1,4,4,6,3
UPK1A-AS1,3,5,1,3
CERT1,1721,1755,2670,1540
PTCHD1-AS,4,5,5,4
DLG3-AS1,5,5,16,7
MTOR-AS1,23,24,33,17
OPA1-AS1,56,50,68,36
HLTF-AS1,47,35,32,16
LMLN-AS1,5,4,5,7
IPO9-AS1,74,70,40,29
SZT2-AS1,14,20,29,19
SNRK-AS1,116,107,119,89
LNX1-AS2,17,14,21,16
MED4-AS1,121,103,116,81
MED14OS,29,28,34,14
FGF12-AS2,2,6,9,6
NCBP2-AS1,75,78,134,61
OXCT1-AS1,78,81,61,38
TTC3-AS1,47,58,70,48
VIPR1-AS1,5,4,10,2
NAV2-AS2,14,12,102,43
SGO1-AS1,118,125,10,9
CFAP44-AS1,2,5,3,2
PRRT3-AS1,25,26,56,36
UBXN7-AS1,8,16,14,8
THOC7-AS1,4,6,3,7
HM13-AS1,16,25,16,18
DGUOK-AS1,247,209,208,120
FALEC,3,3,6,6
COX10-DT,57,48,62,40
GRTP1-AS1,32,28,32,22
STK24-AS1,9,12,7,4
NUCB1-AS1,55,68,88,57
BRWD1-AS1,8,1,9,6
UBE2Q1-AS1,69,70,97,54
HDAC11-AS1,3,2,8,5
STEAP3-AS1,94,71,313,169
YEATS2-AS1,9,20,33,30
ZNF630-AS1,6,8,12,5
LINC00365,32,29,72,51
LINC00417,3,5,5,2
DIAPH3-AS1,12,11,1,2
B4GALT4-AS1,29,28,29,18
MID1IP1-AS1,25,24,83,50
MYCBP2-AS1,22,18,24,20
TM4SF19-AS1,3,3,10,13
OBI1-AS1,72,63,39,28
PRICKLE2-AS2,2,5,9,9
PRICKLE2-AS3,5,2,10,4
ARHGAP31-AS1,7,5,3,3
DENND5B-AS1,47,48,48,29
LINC00853,16,13,30,31
SLC25A30-AS1,3,5,6,4
UBE2CP5,37,44,93,60
ERI3-IT1,4,10,4,6
ALMS1-IT1,35,36,20,15
KCNH1-IT1,6,8,2,3
EPN2-IT1,8,4,6,4
HOXA10-AS,15,6,23,11
HOXB-AS1,3,0,10,2
HOXC-AS1,18,11,16,12
HOXC-AS3,22,18,47,31
HOXC13-AS,98,99,155,103
ANKRD20A12P,1,2,42,19
UGDH-AS1,49,39,84,44
PTGES3L,7,9,22,12
PTGES3L-AARSD1,199,161,202,104
MRPS31P5,80,102,86,61
KCNK7,5,5,4,1
UST,964,861,1103,722
ARPC5,3715,4130,4663,3150
ARPC4,4380,4174,6069,3497
ARPC3,4280,4352,6881,4027
ARPC1B,5750,5077,6134,3774
ACTR3,7044,6813,8676,4986
ACTR2,12154,12095,13856,8713
TSPAN5,134,153,233,151
TSPAN3,1208,1061,996,573
LINC02361,14,7,17,10
LINC02256,5,9,14,8
FOXD3-AS1,38,51,106,74
LIPE-AS1,68,58,111,60
LOC100996318,18,25,42,22
MRNIP-DT,25,15,31,31
ARLNC1,15,18,10,8
LOC100996437,20,33,26,18
LOC100996442,64,56,93,75
MLF1-DT,31,29,18,14
L1CAM-AS1,20,18,14,12
PITX1-AS1,576,583,649,415
LOC100996506,37,37,96,60
LINC01355,12,29,14,13
SEC22B3P,496,486,855,528
ITPR1-DT,13,13,42,32
FAM157C,7,5,19,9
LINC01806,107,87,154,79
LOC100996660,32,49,37,26
SPEGNB,9,12,10,11
LINC01356,1,0,6,5
SRGAP2D,285,293,225,134
SEC22B2P,515,497,871,543
NOTCH2NLC,296,289,370,276
LOC100996720,22,25,36,26
PDE4DIPP2,578,626,779,527
LINC02802,40,33,62,43
HERC2P11,6,7,8,7
LOC100996740,37,42,48,41
SPDYE11,14,14,19,10
LOC100996756,18,33,58,41
NOTCH2NLB,330,345,436,369
LOC100996842,142,132,163,99
FMC1-LUC7L2,1615,1700,1744,1136
LINC00621,133,84,93,65
PYURF,871,856,876,566
ADAM8,130,119,177,146
CDH12,4,13,6,17
NUBP2,2349,2072,1873,1266
TSFM,1666,1427,1594,937
TSPAN1,211,175,1076,416
PPIF,3066,2479,2441,1490
PGR-AS1,2,13,4,7
OVCH1-AS1,9,6,15,10
LOC101059906,21,17,21,25
GOLGA8R,9,11,19,14
NPIPA7,264,258,311,220
LOC101059948,4,3,0,4
NPIPA8,111,113,130,97
CTDSP2,4195,3850,5601,3164
ODAD2P1,4,4,6,4
LOC101060187,1,3,2,5
FCF1P2,36,43,46,35
ZNF891,61,96,73,62
CT45A7,86,77,82,52
NBPF19,667,651,927,739
FOXP4-AS1,28,21,20,9
TBC1D3G,17,17,39,29
LOC101060341,19,16,23,15
TBC1D3K,17,17,40,30
TBC1D3L,35,33,66,39
TBC1D3D,20,18,38,29
LOC101060553,7,9,15,3
LOC101060632,0,1,7,5
NBPF26,726,734,1001,765
NUTM2B-AS1,214,199,288,169
ARPC2,6364,6487,10165,6301
BMS1P17,52,54,77,59
RAD50,3302,3195,4125,2496
KIF20A,4260,4440,197,184
PREB,2293,2137,2610,1619
HIPK3,2416,2303,3420,2402
PANDAR,99,86,115,66
FEM1B,3409,3103,4099,2655
IPO11-LRRC70,338,311,194,129
CDH13,331,271,604,297
ACTR1B,1183,1084,2338,1567
ACTR1A,2490,2604,3300,2302
ARL4C,241,246,209,133
ARL4A,320,353,254,199
NPTN-IT1,34,41,89,59
LINC02067,1639,1545,2361,1366
RASGRP1,173,240,1358,1237
DNAL4,140,135,290,191
ZNF263,1105,1112,1323,934
LRPPRC,11589,10470,13232,7769
FRY,37,36,49,26
CDH15,7,6,4,1
PDIA6,9629,9190,9442,6209
TRAP1,8038,6798,5306,3310
OPTN,388,358,741,456
BCAP31,5394,4813,6594,3653
NAMPT,1338,1299,1296,755
RBM12,3542,3180,3868,2230
YAF2,337,293,357,210
ARFRP1,1056,851,1052,611
TOB1,9498,8210,17301,10724
EZR-AS1,111,96,183,106
OGFR-AS1,9,3,13,2
LINC01587,2,2,9,6
YTHDF3-DT,49,40,56,27
LAMTOR5-AS1,17,13,23,16
MMP24OS,49,40,36,33
AKAP9,2209,2354,3406,2620
CLEC3A,59,54,479,196
FAM13A,9,7,14,6
LOC101448202,8,9,12,11
G3BP1,5798,5217,4914,3327
SUGP2,2561,2667,2798,2009
ADGRG2,32,32,36,13
MBNL2,812,902,2650,1975
HNRNPA3P1,445,440,400,257
ABI2,3191,3162,3471,2226
CEBPZ,2404,2291,2228,1351
PLXNC1,23,19,21,12
TRIM28,23112,20521,15827,10823
PELP1-DT,28,17,12,10
RASA4,69,71,95,60
AASS,5,12,24,22
ATP6AP2,5744,5225,9940,5821
LOC101593348,8,8,4,6
CDH18,2,6,13,15
FARP1,1616,1504,2213,1412
LPAR6,3,3,20,9
LPCAT3,801,713,1279,609
WASF2,2382,2221,3249,1935
SLC25A13,1379,1446,1650,1014
SLC25A15,1533,1278,1254,718
ZNF350-AS1,6,2,6,2
SCHLAP1,4,6,9,3
ZNF197,84,84,160,94
SERF2,4724,4376,6951,4142
CDK2,2917,2974,1249,861
RCL1,612,586,999,580
ZNF256,159,145,170,94
SPECC1L-ADORA2A,579,633,807,543
STAG3L5P,66,57,94,61
SORBS3,806,738,407,267
CNIH1,2914,2660,3434,1886
PVRIG2P,151,158,210,120
STAG3L5P-PVRIG2P-PILRB,733,680,993,622
CAPN10-DT,84,96,69,42
RBM7,217,252,269,151
CDK3,83,88,95,69
RBM6,1552,1579,2323,1550
CASC9,145,122,211,128
RBM5,1786,1699,2308,1576
LHFPL2,635,651,1625,977
LHFPL6,26,13,130,52
PRNCR1,232,212,192,112
TNK2,2527,2283,2203,1651
ALYREF,4734,4150,2435,1498
CDK4,4423,4090,3970,2435
TXNDC9,1156,1203,1426,938
RALY-AS1,35,17,65,35
LOC101926889,3,6,13,6
LIX1-AS1,3,3,7,3
CRTC3-AS1,24,20,22,16
LOC101926907,59,54,80,49
VPS33B-DT,7,8,9,6
ANKRD18CP,25,40,62,40
GTF2IP12,27,31,39,27
LOC101926935,23,27,48,29
GTF2I-AS1,350,339,500,313
ATXN7L3-AS1,95,80,242,127
LOC101926969,29,32,56,43
VIRMA-DT,7,4,7,4
LOC101926984,6,3,4,2
LOC101926994,2,3,7,1
RUNDC3A-AS1,136,116,353,212
LOC101927010,8,5,19,10
LOC101927018,10,2,15,1
ZFAND2A-DT,214,201,245,171
CHROMR,71,66,69,49
UQCRB-AS1,6,3,2,2
LOC101927044,7,7,28,26
LOC101927045,82,96,196,102
KMT2CP4,5,9,9,7
PDXP-DT,119,98,52,36
LINC02614,19,19,68,49
LOC101927060,145,178,232,172
KLF9-DT,17,19,39,29
LOC101927088,29,19,29,13
TICAM2-AS1,9,4,7,3
ITFG1-AS1,42,32,63,38
SUCLG2-DT,14,8,5,4
PLCG1-AS1,522,557,579,374
HEATR5A-DT,6,2,10,2
GTF2IP7,22,36,56,33
LINC02987,128,108,129,87
LMO7-AS1,35,33,40,24
LOC101927157,9,8,13,7
LOC101927164,30,42,45,27
GATA2-AS1,4,6,20,22
LOC101927178,182,190,187,125
LOC101927179,25,23,33,17
FAM111A-DT,43,50,103,66
LOC101927209,5,4,8,5
LINC01473,0,6,2,6
DEPDC1-AS1,10,7,0,0
UBR5-DT,39,48,144,85
LOC101927226,3,5,8,2
SEMA6A-AS1,13,11,15,8
LOC101927241,3,4,8,6
LOC101927245,6,14,24,22
LOC101927263,16,20,21,12
TROAP-AS1,132,118,42,31
LOC101927268,1,4,5,2
NDUFV2-AS1,13,10,13,5
EP300-AS1,47,49,13,7
LOC101927283,3,9,5,9
LINC01237,5,3,7,6
LOC101927293,2,1,5,6
GOT1-DT,24,24,25,24
MALT1-AS1,9,12,5,5
LOC101927325,2,2,6,5
LOC101927330,42,35,136,82
LOC101927345,3,1,35,21
PLS3-AS1,14,17,18,11
PNISR-AS1,54,52,78,35
LOC101927372,6,2,29,5
LOC101927377,22,30,52,42
CARNMT1-AS1,23,17,22,28
LOC101927383,0,1,45,26
MIOS-DT,47,51,85,40
LOC101927393,69,56,94,51
LINC02966,7,8,24,14
LOC101927401,13,7,27,32
AFTPH-DT,10,5,12,11
TMED2-DT,15,17,24,11
LOC101927418,0,3,3,5
DMTF1-AS1,23,22,16,5
PANO1,33,32,32,23
KMT2CP1,9,12,15,11
LOC101927454,6,5,2,5
LINC01522,50,50,280,216
LOC101927469,9,9,18,8
EPHA2-AS1,4,3,13,17
LINC01909,2,2,2,5
TCERG1L-AS1,3,3,66,34
MRPS9-AS1,115,97,121,76
LOC101927506,36,36,63,46
HDLBP-AS1,268,279,407,228
LOC101927510,34,16,76,23
LINC02620,46,22,55,33
ANO7L1,35,45,38,34
LOC101927550,104,98,125,102
LOC101927552,10,8,15,9
LOC101927555,2,4,6,2
LOC101927556,818,778,818,504
CEBPB-AS1,390,300,330,193
LOC101927560,2,4,7,1
LOC101927572,23,30,17,4
LOC101927583,3,4,6,5
LINC01271,9,9,10,9
LINC01725,2,5,5,1
LINC01166,23,19,20,11
NCK1-DT,104,118,136,69
ZNF529-AS1,31,25,87,49
LOC101927610,11,10,6,3
RNF139-DT,70,59,80,65
LOC101927615,12,9,15,7
ZNF567-DT,10,17,24,18
ADNP-AS1,35,41,51,20
PPP1R35-AS1,147,115,160,100
LINC01927,2,1,7,3
LOC101927657,1,6,9,8
LINC01535,8,10,8,8
LOC101927673,119,97,127,88
CD81-AS1,84,70,81,50
HSFX4,21,20,45,31
SEPTIN4-AS1,12,14,31,8
SYT15-AS1,68,62,173,101
FOXCUT,3,5,6,5
ZNF793-AS1,24,13,27,21
SERPINB9-AS1,7,12,6,5
LOC101927741,272,251,552,307
EMSLR,71,60,30,14
ATP6V1B1-AS1,4,1,2,4
ALDH1A3-AS1,81,63,449,144
CLN8-AS1,95,118,150,74
RNFT1-DT,165,176,217,140
LOC101927759,11,4,8,11
TH2LCRR,93,110,124,77
LOC101927764,18,21,22,17
COA6-AS1,56,35,51,31
HDAC2-AS2,3,3,5,2
LOC101927770,44,50,111,90
LOC101927789,15,23,28,22
LOC101927793,293,220,381,241
BZW1-AS1,447,424,762,306
LINC01441,5,3,9,6
COSMOC,19,18,16,22
HMMR-AS1,175,210,6,4
LOC101927817,5,6,7,5
OVOL1-AS1,4,5,4,3
LOC101927830,10,9,20,10
PAQR9-AS1,7,4,6,2
ATP6V0D1-DT,16,27,23,17
LNCATV,1,3,13,8
LOC101927855,21,33,73,53
RNF32-AS1,97,94,143,126
LINC01293,118,158,2438,1584
TENM2-AS1,1,4,7,7
LOC101927863,4,4,18,3
LOC101927864,208,203,400,258
LINC01508,40,25,40,23
RFX5-AS1,15,9,48,11
EMC1-AS1,64,49,60,34
LOC101927896,7,6,7,9
LOC101927897,17,25,8,15
LINC02449,33,16,44,30
LOC101927911,34,20,91,54
LOC101927914,1,0,9,6
LOC101927932,3,3,2,6
LINC01843,35,15,24,25
LOC101927935,10,14,9,8
LOC101927949,8,9,33,16
LOC101927954,34,27,85,59
LINC01572,95,110,76,39
DENND3-AS1,33,21,55,28
LOC101927966,75,70,109,68
CBLL1-AS1,28,29,40,17
ZFHX3-AS1,21,21,9,8
CAMTA2-AS1,46,40,62,20
EDRF1-AS1,20,19,13,13
ZNF516-AS1,28,34,80,53
LINC01213,35,38,124,81
LINC01087,21,26,31,38
LOC101927999,72,65,122,86
ZNF232-AS1,73,66,38,22
PKD2L2-DT,3,4,10,3
LOC101928007,4,2,9,10
HELZ-AS1,16,12,16,8
LINC01214,2,1,28,12
LOC101928039,3,2,8,7
LOC101928045,60,56,56,33
LOC101928046,1,2,3,6
LOC101928047,2,3,6,4
LOC101928055,4,3,5,6
LOC101928059,50,45,55,39
PRANCR,35,35,27,19
ZNF230-DT,14,14,34,29
LOC101928068,5,2,14,7
DPP3-DT,67,54,124,73
DSP-AS1,145,156,266,148
SLC44A3-AS1,3,2,3,6
ERICH6-AS1,14,21,32,19
LOC101928092,2,5,8,1
LOC101928093,13,10,7,6
LOC101928095,10,5,4,4
LOC101928096,2,3,9,5
PCAT7,53,79,120,91
KLRK1-AS1,1,3,12,8
SNHG31,74,106,90,67
LOC101928105,6,13,8,7
HDAC4-AS1,13,7,12,6
LOC101928120,143,113,167,91
LOC101928126,18,14,36,28
PTPRK-AS1,105,120,196,141
C21orf140,1,3,5,5
LOC101928152,5,3,10,2
LOC101928156,31,35,61,20
LAMA5-AS1,48,36,45,46
LOC101928160,1,5,6,3
LOC101928163,17,9,2,3
LOC101928212,126,126,108,92
LOC101928214,11,19,18,14
LOC101928215,2,3,10,3
WDR35-DT,3,3,4,7
LOC101928230,0,0,7,5
PIK3R5-DT,14,18,53,35
LOC101928236,16,18,3,10
LOC101928237,5,1,3,3
DARS1-AS1,82,79,97,56
LOC101928263,3,2,5,3
LOC101928272,62,65,104,98
LOC101928274,69,72,100,79
PLBD1-AS1,27,30,45,18
LINC01488,17,25,108,106
LOC101928317,30,34,29,20
LOC101928344,69,63,102,68
PABPC1L2B-AS1,44,29,93,46
KDM2B-DT,3,5,3,2
LOC101928371,142,140,234,144
JDP2-AS1,86,89,96,53
PTOV1-AS2,460,513,568,387
LOC101928380,54,39,111,55
LOC101928387,3,8,13,6
STAG2-AS1,8,3,3,3
EIF2AK3-DT,54,45,99,39
LOC101928415,43,30,34,23
LOC101928421,16,24,23,10
TMEM123-DT,3,2,12,5
ATXN1-AS1,78,60,175,122
RUFY1-AS1,39,30,33,26
LOC101928451,421,432,630,391
LOC101928462,13,13,21,9
ZNF433-AS1,54,78,127,78
SLCO4A1-AS2,20,10,44,34
LOC101928466,19,35,14,16
NALT1,26,29,165,90
LOC101928487,78,64,77,47
CD109-AS1,25,18,25,10
LOC101928491,1,7,4,8
OR2A1-AS1,18,27,27,16
LOC101928499,23,13,12,8
LOC101928502,5,3,6,4
GTF2A1-AS1,74,61,124,67
LOC101928505,1,2,7,4
LOC101928512,3,1,3,9
CATIP-AS1,13,3,24,14
LOC101928523,6,5,18,9
LOC101928525,545,439,358,216
PIGBOS1,285,252,368,226
CHFR-DT,31,16,57,25
SEPTIN7-DT,6,4,6,6
LOC101928553,3,5,9,2
LOC101928556,5,2,4,3
RAP2C-AS1,62,74,138,101
YPEL3-DT,104,88,112,56
ZNF84-DT,3,5,3,4
ARHGEF35-AS1,15,20,23,12
BTG1-DT,4,4,6,4
SMIM15-AS1,91,97,107,51
LOC101928631,9,5,9,7
ARNTL2-AS1,5,6,2,4
CTC-338M12.4,88,88,97,84
C16orf95-DT,65,47,47,26
LOC101928669,10,10,27,15
PRDX6-AS1,8,6,2,2
SOCS3-DT,14,33,42,51
LNCAROD,56,62,202,131
LINC01424,9,9,1,3
LOC101928692,6,6,3,1
LOC101928705,3,7,11,7
CD2BP2-DT,74,69,105,66
LOC101928718,12,13,35,35
MINDY2-DT,8,2,10,8
LOC101928728,9,9,18,11
MIR762HG,183,144,124,76
LINC01978,6,1,7,1
LL21NC02-21A1.1,20,15,17,13
LOC101928762,29,22,86,64
LOC101928764,15,10,21,7
LINC01807,4,7,3,4
LINC01979,4,4,13,5
LOC101928768,23,16,26,20
RORA-AS1,7,20,22,16
MAST4-AS1,11,11,31,8
LOC101928817,4,3,13,1
LOC101928824,5,10,16,15
LOC101928832,6,5,10,5
TSKU-AS1,26,19,34,27
LINC01842,35,40,33,14
HIPK1-AS1,17,13,35,12
LINC02997,1,3,6,5
LOC101928864,12,9,66,31
LINC02728,5,8,4,3
COMMD5P1,40,29,41,25
LINC01637,2,1,15,5
LINC01786,22,7,29,24
TTC7B-AS1,7,9,6,5
HSFX3,16,15,34,24
SEMA3B-AS1,17,10,60,32
LOC101928933,12,6,13,14
LOC101928953,463,363,441,270
HNRNPD-DT,13,16,10,7
RHOXF1-AS1,4,4,3,3
LINC02994,12,16,18,9
LINC01719,35,32,73,41
LOC101928988,2,4,4,3
CCDC92B,19,19,12,12
LOC101929003,17,26,11,11
LOC101929004,8,5,1,4
LOC101929007,10,9,37,24
GTF2IP13,65,57,93,57
LOC101929018,3,5,6,3
LOC101929031,5,6,3,3
TWF2-DT,10,8,7,3
IRX4-AS1,74,49,82,48
MDN1-AS1,75,94,72,70
ASAH1-AS1,11,12,19,15
LINC01633,4,5,12,9
MICA-AS1,76,99,102,65
PIK3CD-AS2,17,12,13,4
LINC02292,0,0,9,5
TTC36-AS1,49,69,56,67
CD101-AS1,91,66,87,40
BRINP3-DT,238,234,169,104
LINC00437,7,8,14,7
LINC01730,6,3,3,1
LOC101929140,6,6,3,3
LOC101929141,3,5,5,8
PPP3CB-AS1,54,73,106,60
WARS2-AS1,64,63,110,68
LOC101929160,132,107,124,68
PRDM4-AS1,73,74,91,59
LOC101929185,605,416,506,333
ITPR3-AS1,29,12,13,12
LOC101929200,21,22,20,19
LOC101929201,0,6,3,5
LOC101929204,4,8,5,9
SMIM2-AS1,3,3,6,7
LOC101929217,1,3,11,7
INSYN1-AS1,8,5,11,6
DDX59-AS1,2,1,5,4
MMADHC-DT,122,129,163,91
LOC101929234,13,8,16,7
LOC101929240,107,105,211,177
ILRUN-AS1,129,134,178,93
LOC101929270,3,3,11,2
DTNB-AS1,18,11,24,14
LOC101929280,20,22,24,20
LOC101929285,6,6,4,6
LOC101929289,9,8,9,2
LOC101929291,18,18,15,13
LOC101929314,116,107,72,46
LOC101929322,15,13,13,8
ADAMTS9-AS1,5,9,14,14
ESAM-AS1,21,20,3,5
LOC101929343,35,21,51,36
LINC01665,7,3,15,7
CDC37L1-DT,9,11,26,16
LOC101929356,24,25,21,17
HP09053,122,100,57,43
LINC01876,17,13,26,17
LMF1-AS1,5,8,11,10
LOC101929400,5,4,3,2
LOC101929440,8,4,9,2
ERLNC1,38,38,55,47
LOC101929444,4,3,16,6
LINC02623,2,1,2,7
ITGB1-DT,24,34,18,11
LOC101929479,235,233,309,186
LOC101929506,16,20,29,20
LINC01970,8,6,1,0
PSMD14-DT,7,4,6,4
PABPC4-AS1,372,322,342,208
THBS2-AS1,4,16,22,9
RETREG1-AS1,10,9,23,12
LOC101929536,2,10,3,3
LOC101929540,53,60,70,51
LOC101929547,15,12,16,26
LOC101929563,4,2,15,5
LOC101929566,14,11,22,16
LINC01814,66,54,83,63
TSPAN14-AS1,12,14,18,4
GTF2IP23,16,24,32,22
LOC101929586,16,17,23,15
LOC101929599,3,3,3,3
LOC101929609,86,87,101,61
LOC101929614,39,38,55,30
LOC101929626,5,1,10,3
LOC101929633,7,5,5,7
LOC101929638,8,12,13,13
B4GALT1-AS1,68,43,142,96
TMC3-AS1,13,9,9,5
HORMAD2-AS1,24,22,35,30
LINC02883,3,4,7,3
LOC101929691,12,7,21,12
LOC101929692,8,9,21,14
RARA-AS1,3,8,3,7
LOC101929698,2,8,6,4
LOC101929703,6,8,13,4
TTC23L-AS1,9,8,17,9
SCIRT,11,3,2,2
RIPK2-DT,85,84,102,60
LOC101929718,131,116,141,93
ZNF341-AS1,6,7,8,5
PIK3IP1-DT,2,7,12,4
LOC101929767,10,5,11,5
OSMR-DT,5,6,3,3
LINC01063,10,5,11,9
LOC101929770,7,4,7,4
NBPF25P,370,417,577,432
LOC101929788,1,2,6,4
LOC101929790,2,2,5,4
NOTCH2NLR,136,109,137,103
PDE4DIPP4,46,44,69,35
LOC101929819,65,58,128,89
LOC101929823,46,45,65,49
LOC101929828,5,4,8,5
LOC101929846,12,13,24,11
LOC101929894,3,3,4,4
LOC101929898,17,10,13,14
LOC101929918,180,148,163,106
LOC101929937,12,13,22,12
LOC101929950,143,143,191,116
BMS1P14,52,51,63,40
LOC101929974,102,98,85,56
LOC101929977,132,122,215,122
RNF41,1220,1186,1601,919
DST-AS1,5,7,6,9
LOC101930071,13,8,23,9
HERPUD2-AS1,235,260,333,177
RSPH1-DT,1,2,6,5
LOC101930100,3,3,10,5
FAM239A,125,101,263,180
LOC101930112,36,56,62,29
LOC101930129,8,6,12,7
MTUS1-DT,18,22,50,16
GALNT7-DT,85,68,100,51
LOC101930420,84,76,29,23
DNAAF3-AS1,19,15,10,11
LOC101930665,2,2,5,4
LINC00367,27,23,27,13
TSHZ1,801,697,654,447
ALG3,1089,900,954,557
RNVU1-14,2,6,5,1
RNU6-9,25,27,17,12
RNU6-7,21,21,17,11
RNU6-8,34,32,28,18
PRMT3,1098,908,965,529
PSME3,3599,3369,3940,2321
MPHOSPH9,1595,1615,982,659
MPHOSPH10,1572,1639,1466,928
ADAM10,2703,2484,4361,2479
CDK5,498,538,640,446
MPHOSPH6,638,576,634,302
NME6,510,519,625,412
DHRS2,2246,1663,4445,2068
NUTF2,3296,3363,4309,2657
MPZL2,577,517,1133,659
TRIM13,290,268,444,296
PATJ,2111,2193,3663,2687
USPL1,466,461,583,424
EIF1,6949,6173,8119,4206
CDK6,953,1172,1410,1183
TOPORS,618,529,833,497
FLOT1,1824,1730,1576,994
DDX39A,3373,3078,1821,1049
PSMD14,4766,4974,4766,2855
OLIG2,0,3,9,2
PCBP2-OT1,741,655,762,431
AK6,930,865,954,527
PRG4,74,81,58,48
CTDSPL,652,693,363,254
FBXW7-AS1,12,11,28,11
CDK7,976,938,1419,864
GDF11,1240,1012,1321,777
TRIB1,759,707,1564,864
SPACA6-AS1,22,18,25,14
ZNF443,147,199,252,155
PLIN3,1768,1842,2750,1874
