Genes,sc20_a,sc20_b,siA5_a,siA5_b,siP53_a,siP53_b,siA5_siP53_a,siA5_siP53_b
ELAVL1,6158,5081,4591,4815,6039,5854,5338,5991
ELF1,2813,3070,4499,4318,2699,2735,3081,3268
ELF2,1906,1939,1638,1806,1705,1712,1567,1704
ELF3,4744,4046,4688,1364,3304,1966,2753,2773
ELF4,2373,2077,2023,1927,1740,2013,1671,1775
ELF5,1786,1557,378,388,1735,1550,495,638
ELFN1,52,16,9,45,29,20,38,31
ELFN2,105,64,11,51,119,255,110,67
ELK1,1888,1727,1856,1829,1729,1698,1585,2030
ELK3,646,554,522,583,1018,999,840,911
ELK4,3476,3832,2755,2020,2750,2570,1870,1945
ELL,1172,920,1130,1164,983,1146,1125,1221
ELL2,299,225,374,283,187,191,289,322
ELL3,161,142,68,66,123,116,111,94
ELMO1,0,5,0,11,1,9,5,1
ELMO2,1472,1300,2011,1667,896,877,842,827
ELMO3,4479,3655,2981,2804,2128,1901,1463,1650
ELMOD1,4,6,14,17,0,0,2,12
ELMOD2,1090,1001,672,911,1054,834,690,710
ELMOD3,799,750,677,497,506,531,336,429
ELOA,2156,2021,1904,2430,2241,2471,2610,2865
ELOA-AS1,12,24,15,13,9,25,13,4
ELOB,11045,8089,8071,9360,11617,9499,9302,10438
ELOC,2245,1864,2058,2029,2763,2205,2121,2465
ELOF1,3498,2680,3248,3311,3821,3003,3094,3219
ELOVL1,4904,4029,5222,4719,5054,4283,4247,4680
ELOVL2,411,423,516,318,205,183,83,74
ELOVL2-AS1,27,23,28,28,9,2,5,5
ELOVL3,16,21,11,5,27,24,4,12
ELOVL4,220,193,234,209,120,124,109,135
ELOVL5,7457,8473,3863,2440,5327,4281,2999,3346
ELOVL6,1820,1848,809,1005,1492,1333,794,990
ELOVL7,1797,1815,1382,1980,2902,2474,2374,2509
ELP1,2346,2381,2020,2645,2257,2574,2716,2894
ELP2,12042,11989,8800,10658,6588,5756,4777,5782
ELP3,1201,1199,670,1045,1315,1381,1093,1162
ELP4,1308,1183,898,1307,1192,1065,849,1070
ELP5,1792,1458,1354,1144,1715,1389,1129,1205
ELP6,1555,1328,920,1164,1219,1041,746,951
EMB,2583,2549,587,1141,3450,3036,2212,2560
EMC1,2914,2950,2806,2868,2714,3112,2819,3074
EMC1-AS1,6,18,15,2,3,2,21,9
EMC10,1003,827,905,939,1003,793,861,897
EMC2,2026,2079,1482,2483,2342,1868,1698,1811
EMC3,4871,4331,5717,4442,5088,4221,4455,4814
EMC4,3903,3347,3617,3606,4517,3668,3645,4287
EMC6,67,61,78,83,150,98,119,135
EMC7,2324,1870,2194,1761,2215,1814,1575,1794
EMC8,3197,2531,2976,2694,3593,3133,3229,3615
EMC9,1733,1296,859,1045,1926,1623,1237,1399
EMCN,158,107,77,65,126,117,69,118
EMD,6845,5002,4973,5731,5470,5199,4774,5268
EME1,432,423,175,256,370,324,230,328
EME2,3182,3130,3559,3222,1724,1963,2472,2794
EMG1,2271,1933,1754,2209,3031,2639,2920,3165
EMID1,348,254,125,145,177,151,93,128
EMILIN1,223,236,186,129,80,137,70,61
EMILIN2,11,3,4,15,1,2,3,10
EMILIN3,15,7,3,7,3,0,0,2
EML1,466,454,337,688,255,280,181,165
EML2,2793,2442,2288,2522,1106,1019,800,818
EML3,4669,4145,2873,2638,2320,2157,1620,2011
EML4,2812,2899,2944,3026,2138,2223,2289,2523
EML5,141,103,119,125,168,146,180,179
EML6,122,154,96,26,35,41,20,29
EMP1,23,12,8,13,60,47,51,38
EMP2,18722,17588,19348,16694,17024,15996,15672,17605
EMP3,120,102,46,67,21,14,13,7
EMSY,1646,1634,2042,1991,1441,1686,1893,2050
EMX1,8,8,0,0,4,1,4,0
EN2,992,709,998,774,733,851,991,943
ENAH,3649,4022,5647,4512,3532,4004,4293,4797
ENC1,768,646,375,924,633,742,779,878
ENDOD1,683,843,300,867,746,855,754,777
ENDOG,1514,1031,1576,1141,998,1078,977,1123
ENDOV,1532,1257,1097,1107,1435,1148,918,980
ENG,38,32,7,24,37,22,17,33
ENGASE,1090,990,771,792,821,743,808,821
ENHO,78,51,26,37,167,211,74,121
ENKD1,590,367,483,490,390,284,295,275
ENKUR,1,7,0,8,21,28,20,25
ENO1,60385,46540,42032,38501,62445,58319,55563,65456
ENO1-AS1,9,14,5,33,4,14,12,19
ENO2,2183,1989,1625,832,559,415,295,429
ENO3,349,350,347,132,148,86,130,161
ENO4,18,28,13,35,8,11,2,10
ENOPH1,4958,4797,4083,4210,4897,4290,3936,4382
ENOSF1,1361,1378,692,810,1249,1149,1002,1209
ENOX1,0,3,0,0,4,8,9,1
ENOX2,1129,1263,560,691,1229,1185,656,764
ENPEP,219,170,77,209,155,89,42,66
ENPP1,45,46,142,323,192,207,339,327
ENPP3,0,0,0,0,6,7,20,19
ENPP4,152,163,284,333,84,99,134,122
ENPP5,262,316,210,294,241,197,104,162
ENPP7P10,11,1,0,2,1,1,3,2
ENSA,31937,27477,26285,27910,34651,29218,25161,27311
