"","SYMBOL","GSM1921811","GSM1921812","GSM1921813","GSM1921814","GSM1921815","GSM1921816","GSM1921817","GSM1921818"
"14542","LOC107984467",0,0,0,0,0,0,0,0
"14543","LOC107984468",0,0,0,0,1,1,0,0
"14544","LOC107984469",0,0,0,0,0,0,0,0
"14545","LOC107984470",0,0,0,0,0,0,0,0
"14546","LOC107984471",0,0,0,0,0,0,0,0
"14547","LOC107984472",0,0,0,0,0,0,0,0
"14548",NA,0,0,0,0,0,0,0,0
"14549","LRRK2-DT",0,0,0,1,0,0,0,0
"14550","LOC107984475",0,0,1,0,0,0,1,0
"14551","LOC107984476",0,0,0,0,3,0,0,0
"14552","LOC107984478",0,0,0,0,0,0,0,0
"14553","LOC107984480",0,0,0,0,0,0,0,0
"14554","LOC107984482",2,2,1,0,0,3,0,1
"14555","LOC107984484",0,0,0,1,0,0,0,0
"14556",NA,75,137,215,102,160,145,45,124
"14557","LOC107984486",0,0,0,0,0,0,0,0
"14558","LOC107984487",0,0,0,0,0,0,0,0
"14559",NA,21,24,81,33,64,66,23,58
"14560",NA,5,7,20,19,11,11,11,32
"14561",NA,11,6,22,11,30,14,5,11
"14562","LOC107984495",0,0,0,0,0,0,0,0
"14563",NA,0,0,0,0,0,0,0,0
"14564","SULT6B2P",0,0,0,0,0,0,0,0
"14565","LOC107984498",0,0,0,0,0,0,0,0
"14566","LOC107984499",0,0,0,0,0,0,0,0
"14567","LOC107984500",245,431,908,400,633,476,286,666
"14568","LOC107984501",0,0,1,0,0,0,0,0
"14569","LINC02354",5,13,23,7,5,8,3,7
"14570","CPNE8-AS1",9,24,15,6,24,21,7,22
"14571","LOC107984505",3,3,3,4,7,6,6,10
"14572",NA,0,0,0,0,0,0,0,0
"14573","LOC107984507",0,1,0,0,0,1,0,1
"14574","SLC4A8-AS1",0,0,1,0,0,0,0,0
"14575",NA,0,0,0,0,0,0,0,0
"14576","LOC107984510",0,0,1,0,0,1,0,0
"14577",NA,7,9,13,5,15,12,1,11
