"","SYMBOL","GSM2211605","GSM2211606","GSM2211607","GSM2211608","GSM2211609","GSM2211610","GSM2211611","GSM2211612","GSM2211613","GSM2211614"
"5340","HORMAD2-AS1",42,47,41,51,57,49,53,46,54,68
"5341","LOC101929667",0,0,0,0,0,0,0,0,0,0
"5342","LINC02883",27,24,14,26,30,28,16,17,16,25
"5343","SCN1A-AS1",5,7,5,1,1,2,4,5,0,3
"5344","LINC02064",1,0,0,1,3,2,0,1,2,2
"5345","LINC01520",0,0,0,0,0,0,0,0,0,0
"5346","LNCNEF",0,0,0,0,0,0,0,0,0,0
"5347","UBE2R2-AS1",1,1,2,2,1,4,0,0,3,2
"5348","LINC01583",195,237,220,172,186,180,261,261,158,227
"5349","LOC101929691",15,20,13,33,40,54,24,16,34,40
"5350","LOC101929692",3,1,1,4,4,3,3,1,3,4
"5351","RARA-AS1",37,33,31,28,29,36,31,26,30,36
"5352","LINC02042",0,0,1,0,0,0,0,1,0,0
"5353","PSD2-AS1",1,2,2,1,0,0,1,1,0,1
"5354","LINC01983",0,0,0,0,0,0,0,0,0,0
"5355","LOC101929698",12,12,11,10,8,15,21,16,12,17
"5356","LINC01794",18,11,14,28,23,13,17,32,18,29
"5357","LINC01584",0,0,0,0,0,0,0,0,0,0
"5358","LOC101929703",15,15,16,6,14,9,22,21,11,21
"5359","TTC23L-AS1",24,22,22,28,26,23,22,27,12,19
"5360","SCIRT",61,55,65,80,113,94,100,119,206,295
"5361","LOC101929707",0,0,1,0,0,0,0,1,0,0
"5362","RIPK2-DT",70,68,67,150,159,176,72,70,163,215
"5363","LOC101929710",1,2,2,2,1,4,2,1,1,1
"5364","ODC1-DT",20,16,20,44,46,57,26,22,38,44
"5365","ARMC2-AS1",0,4,0,1,1,3,1,1,0,0
"5366","LINC02044",3,2,3,4,6,5,5,4,8,4
"5367","LOC101929718",297,307,280,299,333,344,358,314,330,455
"5368","LOC101929719",0,1,2,2,2,1,2,2,0,0
"5369","AGBL4-AS1",0,0,0,0,0,0,0,0,0,0
"5370","LINC01914",4,8,1,2,2,3,2,2,3,3
"5371","MYMX",0,1,1,0,1,0,0,0,0,0
"5372","LOC101929727",1,0,0,0,0,2,10,3,1,6
"5373","LINC01352",0,1,0,0,0,0,0,0,0,0
"5374","LOC101929732",2,1,1,2,2,4,1,0,2,3
"5375","LINC01954",0,1,1,0,0,0,0,0,0,0
"5376","LINC01372",7,7,7,11,11,15,10,9,12,19
"5377",NA,0,1,1,1,0,3,1,1,3,1
"5378","METTL14-DT",4,2,1,4,5,3,2,1,1,3
"5379","LINC01586",0,0,0,0,0,0,0,0,0,0
"5380","LINC02119",1,2,3,5,6,5,0,0,2,1
"5381","ZNF341-AS1",8,6,8,6,9,4,1,1,2,5
"5382","LOC101929748",2,2,1,1,2,3,2,1,2,1
"5383","LOC101929750",0,1,1,0,0,0,0,2,0,0
"5384","LOC101929752",0,0,0,0,0,0,0,0,0,0
"5385","MYO3B-AS1",0,0,0,0,0,0,0,0,0,0
"5386","ZBTB20-AS5",1,1,1,0,0,0,1,3,0,1
"5387","LOC101929756",15,17,8,17,16,14,26,16,18,13
"5388",NA,3,2,5,1,6,3,6,10,8,7
"5389","PIK3IP1-DT",6,5,9,6,7,3,10,8,4,7
"5390","LOC101929762",3,2,1,2,5,1,3,2,3,1
"5391","LINC01585",0,0,0,1,0,0,0,0,0,0
